Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Tyrese Maxey,24,PG,35,35,37.7,9.1,21.4,.427,3.2,9.6,.333,5.9,11.8,.504,.502,4.9,5.8,.856,0.3,3.2,3.5,5.9,2.0,0.4,2.4,2.3,26.4,
2,Kelly Oubre Jr.,29,SF,39,36,33.4,5.2,11.3,.456,1.2,4.3,.283,3.9,7.1,.560,.509,2.0,2.6,.748,1.5,4.3,5.8,1.6,1.5,0.5,1.3,2.9,13.5,
3,Paul George,34,PF,28,28,32.6,6.2,14.7,.423,2.4,6.6,.355,3.9,8.0,.480,.504,2.2,2.6,.824,0.7,5.1,5.8,4.9,1.8,0.4,2.7,2.6,17.0,
4,Caleb Martin,29,SF,31,24,30.4,3.3,7.5,.435,1.1,2.8,.379,2.2,4.7,.469,.506,1.5,2.4,.622,1.4,3.0,4.4,2.2,1.1,0.6,1.4,2.0,9.1,
5,Joel Embiid,30,C,13,13,29.5,7.6,16.8,.452,1.2,3.8,.327,6.4,13.1,.488,.489,7.9,8.6,.920,1.7,6.2,7.9,3.8,0.8,1.0,3.2,2.2,24.4,
6,Guerschon Yabusele,29,C,40,18,25.8,3.8,7.3,.512,1.6,3.9,.409,2.2,3.5,.626,.619,1.3,1.9,.684,1.9,3.4,5.3,1.9,0.7,0.4,1.2,2.6,10.4,
7,Jared McCain,20,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,
8,KJ Martin,24,PF,24,7,20.0,2.5,4.1,.616,0.3,0.9,.381,2.2,3.3,.679,.657,1.0,1.2,.828,0.9,2.1,3.0,0.8,0.5,0.7,0.5,2.6,6.4,
9,Kyle Lowry,38,PG,25,12,19.9,1.2,3.5,.356,0.9,2.6,.338,0.4,0.9,.409,.483,0.8,1.0,.800,0.3,1.5,1.8,2.7,1.0,0.3,0.7,1.9,4.2,
10,Justin Edwards,21,SF,13,0,19.2,2.7,5.6,.479,1.2,3.4,.341,1.5,2.2,.690,.582,0.2,0.4,.600,0.7,1.9,2.6,1.0,0.4,0.2,0.9,1.8,6.8,
11,Andre Drummond,31,C,28,16,19.2,2.9,5.7,.509,0.0,0.4,.091,2.9,5.3,.541,.513,1.3,2.2,.574,2.5,5.1,7.6,0.6,1.1,0.4,1.7,2.4,7.1,
12,Eric Gordon,36,SG,31,8,18.5,2.0,5.0,.409,1.3,3.4,.375,0.8,1.6,.480,.536,0.9,1.3,.744,0.2,0.9,1.1,1.5,0.6,0.3,0.7,0.9,6.3,
13,Ricky Council IV,23,SF,35,3,14.4,2.1,5.2,.398,0.6,2.2,.269,1.5,2.9,.495,.456,1.5,1.8,.841,0.7,1.7,2.3,0.9,0.3,0.2,0.6,0.9,6.2,
14,Pete Nance,24,C,5,0,12.0,1.0,3.0,.333,0.8,2.4,.333,0.2,0.6,.333,.467,0.2,0.4,.500,0.4,1.4,1.8,0.6,0.2,0.0,0.0,2.0,3.0,
15,Reggie Jackson,34,PG,24,1,11.8,1.5,3.8,.385,0.8,2.3,.352,0.7,1.5,.432,.489,0.3,0.3,.857,0.2,1.0,1.3,1.5,0.5,0.1,0.7,1.1,4.0,
16,Jeff Dowtin,27,PG,20,0,11.4,1.5,3.7,.405,0.3,1.1,.238,1.3,2.7,.472,.439,0.6,0.9,.706,0.2,1.2,1.3,1.5,0.4,0.2,0.2,0.7,3.9,
17,Adem Bona,21,C,27,1,9.9,1.0,1.3,.722,0.0,0.0,,1.0,1.3,.722,.722,0.7,1.1,.645,0.9,1.6,2.5,0.3,0.1,0.7,0.6,1.7,2.7,
18,Lester Quiñones,24,SG,4,0,4.3,1.0,2.0,.500,0.0,0.8,.000,1.0,1.3,.800,.500,0.3,0.3,1.000,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,
