Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Joel Embiid,30,$51415938,$55224526,$57985752,$62624612,$67263472,,$227250828
Paul George,34,$49205800,$51666090,$54126380,$56586670,,,$154998270
Tyrese Maxey,24,$35147000,$37958760,$40770520,$43582280,$46394040,,$203852600
Caleb Martin,29,$8149001,$8556451,$8963901,$9371351,,,$25669353
Kelly Oubre Jr.,29,$7983000,$8382150,,,,,$7983000
KJ Martin,24,$7975000,$8025000,,,,,$7975000
Andre Drummond,31,$5000000,$5000000,,,,,$5000000
Jared McCain,20,$4020360,$4221360,$4422600,$6784268,,,$8241720
Eric Gordon,36,$3303771,$3468960,,,,,$3303771
Reggie Jackson,34,$2087519,,,,,,$2087519
Guerschon Yabusele,29,$2087519,,,,,,$2087519
Kyle Lowry,38,$2087519,,,,,,$2087519
Ricky Council IV,23,$1891857,$2221677,$2406205,,,,$4113534
Adem Bona,21,$1157153,$1955377,$2296271,$2486995,,,$1157153
Justin Edwards,21,,,,,,,
Pete Nance,24,,,,,,,
Jeff Dowtin,27,,,,,,,
