Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Damian Lillard,34,PG,34,34,36.1,7.7,17.1,.449,3.5,8.9,.392,4.2,8.3,.511,.551,6.1,6.6,.920,0.5,3.9,4.4,7.1,1.3,0.2,2.9,1.9,25.0,
2,Giannis Antetokounmpo,30,PF,35,35,34.9,12.5,20.7,.605,0.1,0.7,.154,12.4,20.0,.621,.607,6.3,10.7,.587,2.2,9.8,12.0,6.0,0.8,1.4,3.5,2.4,31.5,
3,Brook Lopez,36,C,41,41,31.9,4.6,9.5,.488,1.9,5.0,.372,2.8,4.4,.621,.587,1.1,1.4,.776,1.1,3.8,4.9,1.7,0.8,1.9,1.0,2.1,12.2,
4,Taurean Prince,30,SF,41,34,25.3,2.6,5.7,.457,1.7,3.6,.463,0.9,2.1,.447,.605,0.4,0.5,.773,0.6,3.1,3.6,1.8,0.8,0.1,1.1,1.9,7.3,
5,Bobby Portis,29,PF,40,5,24.8,5.4,11.7,.465,1.3,3.6,.366,4.1,8.1,.508,.520,1.2,1.5,.810,1.7,6.3,7.9,2.0,0.7,0.5,1.2,1.8,13.3,
6,Gary Trent Jr.,26,SG,36,7,24.5,3.3,7.6,.434,2.1,4.9,.424,1.2,2.7,.454,.571,0.8,0.9,.906,0.2,2.1,2.3,0.9,1.1,0.0,0.6,2.0,9.5,
7,Khris Middleton,33,SF,18,7,23.5,4.6,9.6,.480,1.4,3.8,.377,3.2,5.8,.548,.555,1.9,2.3,.833,0.3,3.7,3.9,5.1,0.9,0.2,1.7,2.2,12.6,
8,A.J. Green,25,SG,38,4,21.8,2.7,5.9,.447,2.3,5.2,.442,0.3,0.7,.481,.642,0.3,0.4,.857,0.3,2.1,2.3,1.3,0.5,0.1,0.6,2.2,7.9,
9,Andre Jackson Jr.,23,SG,39,31,17.3,1.5,3.3,.442,0.5,1.5,.362,0.9,1.8,.507,.523,0.2,0.3,.538,1.1,2.1,3.1,1.4,0.6,0.3,1.1,2.2,3.6,
10,Pat Connaughton,32,SG,21,0,15.7,1.7,4.1,.402,0.7,2.5,.288,1.0,1.7,.571,.489,0.6,0.8,.750,0.6,2.2,2.9,1.7,0.2,0.3,0.6,1.2,4.6,
11,Delon Wright,32,PG,25,2,15.3,0.9,3.1,.282,0.5,1.8,.261,0.4,1.3,.313,.359,0.3,0.6,.571,0.6,1.1,1.7,1.8,0.8,0.3,0.6,0.7,2.6,
12,Ryan Rollins,22,PG,25,5,12.0,1.9,3.9,.490,0.6,1.6,.366,1.3,2.3,.579,.566,0.5,0.6,.813,0.4,1.4,1.8,1.1,0.8,0.4,0.8,1.4,5.0,
13,Liam Robbins,25,C,13,0,4.4,0.2,0.6,.250,0.0,0.2,.000,0.2,0.5,.333,.250,0.4,0.8,.500,0.5,0.4,0.9,0.2,0.2,0.2,0.5,0.7,0.7,
14,MarJon Beauchamp,24,SF,20,0,4.4,0.8,1.9,.405,0.3,0.9,.294,0.5,1.0,.500,.473,0.4,0.5,.800,0.2,0.9,1.1,0.1,0.1,0.1,0.6,0.3,2.2,
15,Tyler Smith,20,PF,11,0,3.5,0.8,1.3,.643,0.3,0.7,.375,0.5,0.5,1.000,.750,0.1,0.2,.500,0.1,0.8,0.9,0.1,0.0,0.3,0.3,0.4,2.0,
16,Stanley Umude,25,SG,15,0,3.2,0.1,0.9,.154,0.1,0.5,.250,0.0,0.3,.000,.231,0.0,0.1,.000,0.2,0.7,0.9,0.1,0.1,0.1,0.1,0.3,0.4,
17,Chris Livingston,21,SF,7,0,2.6,0.1,0.3,.500,0.0,0.0,,0.1,0.3,.500,.500,0.0,0.0,,0.3,0.7,1.0,0.1,0.1,0.0,0.4,0.1,0.3,
18,AJ Johnson,20,SG,5,0,2.2,0.6,1.2,.500,0.2,0.2,1.000,0.4,1.0,.400,.583,0.0,0.0,,0.0,0.4,0.4,0.2,0.0,0.0,0.4,0.0,1.4,
