Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Giannis Antetokounmpo,30,$48787676,$54126450,$58456566,$62786682,,,$161370692
Damian Lillard,34,$48787676,$54126450,$58456566,,,,$102914126
Khris Middleton,33,$31666667,$34012345,,,,,$31666667
Brook Lopez,36,$23000000,,,,,,$23000000
Bobby Portis,29,$12578286,$13445754,,,,,$12578286
Pat Connaughton,32,$9423869,$9423869,,,,,$9423869
AJ Johnson,20,$2795294,$3090480,$3237120,$5493394,,,$5885774
MarJon Beauchamp,24,$2733720,$4781276,,,,,$2733720
A.J. Green,25,$2120693,$2301587,,,,,
Taurean Prince,30,$2087519,,,,,,$2087519
Gary Trent Jr.,26,$2087519,,,,,,$2087519
Delon Wright,32,$2087519,,,,,,$2087519
Chris Livingston,21,$1891857,$2221677,$2406205,,,,$1891857
Andre Jackson Jr.,23,$1891857,$2221677,$2406205,,,,
Tyler Smith,20,$1157153,$1955377,$2296271,$2486995,,,$5408801
Liam Robbins,25,,,,,,,
Ryan Rollins,22,,,,,,,
Stanley Umude,25,,,,,,,
