Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Zach LaVine,29,SF,39,39,34.0,8.7,17.0,.514,3.2,7.2,.450,5.5,9.8,.560,.608,3.3,4.1,.816,0.3,4.5,4.8,4.5,0.9,0.3,2.9,1.5,24.0,
2,Coby White,24,SG,40,40,32.6,6.2,14.3,.437,3.0,8.3,.364,3.2,6.0,.538,.542,2.8,3.2,.874,0.4,3.1,3.4,4.7,1.0,0.2,2.4,2.3,18.2,
3,Nikola Vučević,34,C,43,43,32.3,8.3,15.0,.554,1.9,4.7,.411,6.4,10.3,.619,.618,1.8,2.2,.809,2.4,8.0,10.4,3.4,0.9,0.7,1.5,2.4,20.3,
4,Ayo Dosunmu,25,SG,33,17,30.6,4.8,9.8,.492,1.3,4.0,.318,3.5,5.8,.613,.557,1.4,1.8,.797,0.6,3.2,3.8,4.7,0.8,0.4,1.3,2.3,12.3,
5,Josh Giddey,22,PG,40,40,28.3,4.4,9.9,.439,1.2,3.6,.324,3.2,6.3,.506,.499,1.5,2.0,.750,1.6,5.8,7.3,6.7,1.1,0.5,2.7,1.6,11.4,
6,Patrick Williams,23,PF,34,33,26.6,3.3,8.6,.381,1.7,4.6,.367,1.6,3.9,.398,.481,1.1,1.4,.830,0.6,3.2,3.9,2.2,0.8,0.6,1.4,1.4,9.4,
7,Lonzo Ball,27,PG,23,2,20.4,2.2,6.0,.365,1.7,5.0,.330,0.5,1.0,.545,.504,0.4,0.5,.750,0.5,2.8,3.3,3.7,1.6,0.6,1.2,1.6,6.4,
8,Jalen Smith,24,C,40,1,15.2,2.9,6.3,.464,1.1,3.4,.328,1.8,2.9,.621,.552,1.3,1.5,.820,1.5,3.9,5.4,0.9,0.3,0.7,0.7,1.6,8.2,
9,Julian Phillips,21,SF,43,3,13.5,1.6,3.7,.434,0.6,2.0,.314,1.0,1.7,.575,.519,0.7,0.9,.700,1.0,1.1,2.1,0.4,0.4,0.3,0.4,1.3,4.5,
10,Dalen Terry,22,SG,41,1,12.9,1.3,2.9,.442,0.4,1.1,.341,0.9,1.9,.500,.504,0.7,1.0,.700,0.6,1.0,1.5,1.1,0.5,0.2,0.8,1.6,3.6,
11,Matas Buzelis,20,SF,42,0,12.8,1.7,4.6,.376,0.8,2.3,.330,1.0,2.3,.423,.459,0.7,0.8,.824,0.6,2.0,2.6,0.4,0.3,0.8,0.5,1.3,4.9,
12,Torrey Craig,34,SF,9,1,12.6,2.4,5.0,.489,1.7,3.9,.429,0.8,1.1,.700,.656,0.3,0.4,.750,0.9,1.9,2.8,0.6,0.2,0.1,0.0,1.7,6.9,
13,Talen Horton-Tucker,24,SG,36,0,12.1,2.3,4.9,.472,0.9,2.2,.397,1.4,2.7,.531,.560,0.9,1.2,.705,0.4,1.4,1.8,1.4,0.4,0.2,0.6,1.0,6.3,
14,Jevon Carter,29,PG,19,0,6.5,1.1,2.5,.438,0.7,1.7,.406,0.4,0.8,.500,.573,0.3,0.4,.750,0.1,0.7,0.8,0.7,0.3,0.1,0.4,0.3,3.2,
15,Adama Sanogo,22,C,4,0,5.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,
16,E.J. Liddell,24,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
17,Chris Duarte,27,SG,16,0,4.6,0.8,1.6,.480,0.4,0.9,.429,0.4,0.7,.545,.600,0.4,0.5,.750,0.3,0.9,1.3,0.5,0.0,0.0,0.1,0.4,2.3,
