Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Zach LaVine,29,SF,40,40,34.0,8.7,16.9,.513,3.2,7.2,.451,5.5,9.8,.558,.608,3.5,4.3,.812,0.3,4.5,4.8,4.5,0.9,0.3,2.8,1.5,24.0,
2,Coby White,24,SG,40,40,32.6,6.2,14.3,.437,3.0,8.3,.364,3.2,6.0,.538,.542,2.8,3.2,.874,0.4,3.1,3.4,4.7,1.0,0.2,2.4,2.3,18.2,
3,Nikola Vučević,34,C,44,44,32.3,8.2,14.9,.553,1.9,4.6,.412,6.3,10.3,.616,.617,1.7,2.1,.809,2.4,7.9,10.3,3.4,0.9,0.6,1.6,2.4,20.1,
4,Ayo Dosunmu,25,SG,34,17,30.4,4.8,9.7,.495,1.3,4.0,.324,3.5,5.7,.617,.562,1.5,1.9,.794,0.6,3.2,3.8,4.6,0.8,0.4,1.2,2.3,12.4,
5,Josh Giddey,22,PG,41,41,28.4,4.4,10.0,.441,1.2,3.6,.329,3.2,6.3,.506,.501,1.5,2.0,.747,1.6,5.8,7.4,6.6,1.1,0.5,2.7,1.6,11.5,
6,Patrick Williams,23,PF,35,34,26.6,3.3,8.6,.377,1.7,4.6,.364,1.6,4.0,.393,.475,1.1,1.3,.830,0.6,3.2,3.8,2.1,0.8,0.6,1.3,1.4,9.3,
7,Lonzo Ball,27,PG,24,3,20.5,2.2,6.1,.361,1.7,5.2,.331,0.5,1.0,.522,.500,0.4,0.5,.750,0.5,2.8,3.3,3.7,1.6,0.5,1.3,1.7,6.5,
8,Jalen Smith,24,C,41,1,15.2,2.9,6.2,.463,1.1,3.3,.328,1.8,2.9,.619,.551,1.3,1.6,.831,1.5,3.9,5.4,0.9,0.3,0.7,0.6,1.6,8.2,
9,Julian Phillips,21,SF,44,3,13.5,1.6,3.7,.435,0.6,2.0,.314,1.0,1.7,.573,.519,0.7,0.9,.707,0.9,1.2,2.1,0.4,0.4,0.3,0.4,1.3,4.5,
10,Dalen Terry,22,SG,42,1,12.9,1.3,2.9,.439,0.4,1.1,.333,0.9,1.9,.500,.500,0.7,1.0,.700,0.5,0.9,1.5,1.1,0.5,0.2,0.8,1.5,3.6,
11,Matas Buzelis,20,SF,43,0,12.7,1.7,4.7,.370,0.7,2.3,.327,1.0,2.4,.412,.450,0.7,0.8,.829,0.7,2.0,2.7,0.4,0.3,0.8,0.5,1.3,4.9,
12,Torrey Craig,34,SF,9,1,12.6,2.4,5.0,.489,1.7,3.9,.429,0.8,1.1,.700,.656,0.3,0.4,.750,0.9,1.9,2.8,0.6,0.2,0.1,0.0,1.7,6.9,
13,Talen Horton-Tucker,24,SG,37,0,12.1,2.2,4.8,.464,0.8,2.1,.397,1.4,2.7,.515,.550,0.9,1.2,.717,0.4,1.4,1.8,1.4,0.4,0.2,0.6,1.0,6.2,
14,Jevon Carter,29,PG,20,0,6.4,1.2,2.8,.436,0.8,1.9,.421,0.4,0.9,.471,.582,0.3,0.4,.750,0.1,0.7,0.8,0.7,0.3,0.1,0.4,0.3,3.5,
15,Adama Sanogo,22,C,4,0,5.3,1.0,1.8,.571,0.0,0.0,,1.0,1.8,.571,.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,
16,E.J. Liddell,24,PF,6,0,5.2,0.8,1.3,.625,0.5,1.0,.500,0.3,0.3,1.000,.813,0.3,0.3,1.000,0.2,0.7,0.8,0.5,0.2,0.2,0.3,1.3,2.5,
17,Chris Duarte,27,SG,16,0,4.6,0.8,1.6,.480,0.4,0.9,.429,0.4,0.7,.545,.600,0.4,0.5,.750,0.3,0.9,1.3,0.5,0.0,0.0,0.1,0.4,2.3,
