Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Zach LaVine,29,$43031940,$45999660,$48967380,,,,$89031600
Lonzo Ball,27,$21395348,,,,,,$21395348
Nikola Vučević,34,$20000000,$21481481,,,,,$41481481
Patrick Williams,23,$18000000,$18000000,$18000000,$18000000,$18000000,,$72000000
Coby White,24,$12000000,$12888889,,,,,$24888889
Jalen Smith,24,$8571429,$9000000,$9428571,,,,$27000000
Josh Giddey,22,$8352367,,,,,,$8352367
Ayo Dosunmu,25,$7000000,$7518518,,,,,$14518518
Jevon Carter,29,$6500000,$6809524,,,,,$6500000
Chris Duarte,27,$5893768,,,,,,$5893768
Matas Buzelis,20,$5195520,$5455560,$5715360,$7584283,,,$10651080
Dalen Terry,22,$3510480,$5399118,,,,,$8909598
Torrey Craig,34,$2845342,,,,,,$2845342
Talen Horton-Tucker,24,$2087519,,,,,,$2087519
Julian Phillips,21,$1891857,$2221677,$2406205,,,,$4113534
Adama Sanogo,22,,,,,,,
Emanuel Miller,24,,,,,,,
E.J. Liddell,24,,,,,,,
