Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Donovan Mitchell,28,SG,41,41,31.2,8.2,18.5,.443,3.6,9.1,.396,4.6,9.3,.488,.540,3.3,3.9,.832,0.7,3.8,4.5,4.5,1.4,0.2,2.0,2.0,23.2,
2,Evan Mobley,23,PF,38,38,30.2,7.1,12.4,.573,1.2,2.8,.421,5.9,9.6,.617,.621,3.2,4.1,.774,2.1,6.8,8.8,2.9,0.9,1.4,2.0,2.0,18.6,
3,Darius Garland,25,PG,42,42,30.1,7.6,15.2,.498,2.9,6.8,.429,4.6,8.4,.554,.594,3.1,3.6,.873,0.5,2.0,2.5,6.7,1.1,0.2,2.4,2.0,21.2,
4,Jarrett Allen,26,C,43,43,28.8,5.8,8.1,.709,0.0,0.0,.000,5.8,8.1,.711,.709,2.6,3.5,.745,2.7,7.4,10.0,1.9,1.0,1.0,1.1,1.4,14.1,
5,Caris LeVert,30,SF,35,2,24.1,3.7,7.9,.473,1.7,3.9,.420,2.1,4.0,.525,.578,1.7,2.4,.699,0.6,2.3,2.9,3.8,0.9,0.5,1.3,1.3,10.8,
6,Max Strus,28,SF,15,2,23.1,2.6,6.6,.394,2.0,5.4,.370,0.6,1.2,.500,.545,0.3,0.3,.800,0.8,2.7,3.5,3.0,0.4,0.3,1.1,1.7,7.5,
7,Dean Wade,28,PF,34,25,22.9,2.1,5.2,.409,1.5,4.3,.354,0.6,0.9,.690,.557,0.4,0.7,.520,1.0,4.2,5.2,1.5,0.9,0.5,0.3,1.9,6.1,
8,Georges Niang,31,PF,43,1,20.3,3.2,6.8,.476,1.7,4.3,.391,1.6,2.5,.620,.599,0.3,0.4,.789,0.7,3.1,3.8,1.4,0.3,0.1,1.0,2.3,8.5,
9,Isaac Okoro,24,SG,28,16,19.7,2.0,4.7,.427,1.1,2.8,.397,0.9,1.9,.472,.546,0.6,0.9,.720,0.8,1.3,2.1,1.6,0.7,0.4,0.4,2.0,5.8,
10,Sam Merrill,28,SG,36,2,18.2,2.2,5.9,.371,1.7,5.1,.333,0.5,0.8,.600,.514,0.5,0.6,.950,0.4,1.4,1.8,1.6,0.6,0.2,0.4,1.8,6.6,
11,Ty Jerome,27,SG,40,2,17.9,3.8,7.5,.503,1.4,3.3,.423,2.4,4.2,.565,.596,1.5,1.7,.884,0.7,1.6,2.3,3.3,1.2,0.0,1.2,1.4,10.4,
12,Tristan Thompson,33,C,19,0,8.2,0.9,2.0,.474,0.0,0.1,.000,0.9,1.9,.500,.474,0.3,1.1,.250,0.7,2.2,2.9,0.6,0.1,0.3,0.4,0.8,2.2,
13,Craig Porter Jr.,24,PG,25,0,7.7,1.0,1.7,.595,0.3,0.5,.538,0.7,1.2,.621,.679,0.2,0.3,.750,0.1,0.6,0.8,1.1,0.2,0.3,0.4,0.4,2.5,
14,Jaylon Tyson,22,SG,26,1,7.3,0.8,2.0,.423,0.3,0.8,.350,0.6,1.2,.469,.490,0.2,0.4,.600,0.6,1.2,1.8,0.7,0.3,0.0,0.4,1.0,2.2,
15,Luke Travers,23,SG,6,0,7.0,0.5,1.2,.429,0.0,0.5,.000,0.5,0.7,.750,.429,0.3,0.3,1.000,0.2,0.8,1.0,0.8,0.2,0.2,0.3,0.5,1.3,
16,Emoni Bates,21,SF,1,0,6.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,JT Thor,22,PF,8,0,4.9,1.1,1.8,.643,0.4,0.6,.600,0.8,1.1,.667,.750,0.9,1.0,.875,0.4,0.4,0.8,0.1,0.3,0.4,0.8,0.8,3.5,
