Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Donovan Mitchell,28,SG,42,42,31.3,8.3,18.6,.445,3.7,9.3,.398,4.6,9.3,.491,.544,3.3,4.0,.828,0.7,3.8,4.5,4.5,1.4,0.2,2.0,2.0,23.5,
2,Darius Garland,25,PG,43,43,30.2,7.6,15.3,.497,3.0,6.9,.428,4.7,8.4,.554,.593,3.1,3.5,.875,0.5,2.0,2.5,6.7,1.1,0.2,2.4,2.0,21.3,
3,Evan Mobley,23,PF,38,38,30.2,7.1,12.4,.573,1.2,2.8,.421,5.9,9.6,.617,.621,3.2,4.1,.774,2.1,6.8,8.8,2.9,0.9,1.4,2.0,2.0,18.6,
4,Jarrett Allen,26,C,44,44,29.0,5.7,8.1,.704,0.0,0.0,.000,5.7,8.1,.706,.704,2.5,3.4,.735,2.7,7.4,10.0,1.9,1.0,1.0,1.1,1.4,14.0,
5,Caris LeVert,30,SF,35,2,24.1,3.7,7.9,.473,1.7,3.9,.420,2.1,4.0,.525,.578,1.7,2.4,.699,0.6,2.3,2.9,3.8,0.9,0.5,1.3,1.3,10.8,
6,Max Strus,28,SF,16,3,23.4,2.6,6.6,.387,2.0,5.4,.372,0.6,1.3,.450,.538,0.3,0.3,.800,0.9,2.8,3.7,2.9,0.4,0.4,1.1,1.8,7.4,
7,Dean Wade,28,PF,35,26,22.8,2.1,5.1,.408,1.5,4.3,.349,0.6,0.9,.700,.553,0.4,0.7,.520,1.0,4.1,5.1,1.6,0.9,0.5,0.3,1.9,6.0,
8,Georges Niang,31,PF,44,1,20.2,3.2,6.8,.473,1.7,4.3,.388,1.5,2.5,.618,.596,0.3,0.4,.789,0.7,3.1,3.8,1.4,0.3,0.1,1.0,2.3,8.4,
9,Isaac Okoro,24,SG,28,16,19.7,2.0,4.7,.427,1.1,2.8,.397,0.9,1.9,.472,.546,0.6,0.9,.720,0.8,1.3,2.1,1.6,0.7,0.4,0.4,2.0,5.8,
10,Ty Jerome,27,SG,41,2,18.3,3.9,7.6,.516,1.5,3.4,.457,2.4,4.2,.563,.617,1.6,1.8,.877,0.7,1.6,2.3,3.3,1.2,0.0,1.2,1.4,11.0,
11,Sam Merrill,28,SG,37,2,18.2,2.2,5.9,.370,1.7,5.1,.333,0.5,0.8,.600,.514,0.6,0.6,.957,0.5,1.4,1.8,1.6,0.5,0.2,0.5,1.8,6.7,
12,Tristan Thompson,33,C,20,0,8.3,0.9,1.9,.474,0.0,0.1,.000,0.9,1.8,.500,.474,0.3,1.0,.250,0.8,2.2,3.0,0.7,0.1,0.4,0.5,0.9,2.1,
13,Craig Porter Jr.,24,PG,25,0,7.7,1.0,1.7,.595,0.3,0.5,.538,0.7,1.2,.621,.679,0.2,0.3,.750,0.1,0.6,0.8,1.1,0.2,0.3,0.4,0.4,2.5,
14,Jaylon Tyson,22,SG,27,1,7.5,0.9,2.0,.426,0.3,0.8,.364,0.6,1.2,.469,.500,0.2,0.4,.600,0.6,1.2,1.8,0.7,0.3,0.0,0.4,0.9,2.2,
15,Luke Travers,23,SG,6,0,7.0,0.5,1.2,.429,0.0,0.5,.000,0.5,0.7,.750,.429,0.3,0.3,1.000,0.2,0.8,1.0,0.8,0.2,0.2,0.3,0.5,1.3,
16,Emoni Bates,21,SF,1,0,6.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,JT Thor,22,PF,8,0,4.9,1.1,1.8,.643,0.4,0.6,.600,0.8,1.1,.667,.750,0.9,1.0,.875,0.4,0.4,0.8,0.1,0.3,0.4,0.8,0.8,3.5,
