Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Darius Garland,24,$36725670,$39446090,$42166510,$44886930,,,$163225200
Donovan Mitchell,28,$35410310,$46394100,$50105628,$53817156,,,$131910038
Jarrett Allen,26,$20000000,$20000000,$28000000,$30240000,$32480000,,$130720000
Caris LeVert,30,$16615384,,,,,,$16615384
Max Strus,28,$15212068,$15936452,$16660836,,,,$47809356
Evan Mobley,23,$11227657,$38661750,$41754690,$44847630,$47940570,$51033510,$235465807
Isaac Okoro,23,$10185186,$11000000,$11814814,,,,$33000000
Georges Niang,31,$8500000,$8200000,,,,,$16700000
Dean Wade,28,$6166667,$6623456,,,,,$6166667
Jaylon Tyson,22,$3326160,$3492480,$3658560,$5641500,,,$6818640
Ty Jerome,27,$2560975,,,,,,$2560975
Sam Merrill,28,$2164993,,,,,,$2164993
Tristan Thompson,33,$2087519,,,,,,$2087519
Craig Porter Jr.,24,$1891857,$2221677,$2406205,,,,
JT Thor,22,,,,,,,
Luke Travers,23,,,,,,,
Emoni Bates,20,,,,,,,
,,,,,,,,
Ricky Rubio,34,$1301031,,,,,,$1301031
