Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jayson Tatum,26,PF,41,41,36.5,9.2,20.2,.457,3.7,10.3,.355,5.6,9.9,.564,.548,5.3,6.6,.798,0.6,8.6,9.2,5.5,1.3,0.5,2.8,2.3,27.4,
2,Jaylen Brown,28,SF,37,37,35.6,8.5,18.7,.453,2.0,6.1,.326,6.5,12.6,.515,.506,4.2,5.5,.765,1.5,4.4,5.9,4.8,1.3,0.3,2.8,2.4,23.2,
3,Derrick White,30,SG,42,42,33.9,5.5,12.7,.436,3.3,9.0,.370,2.2,3.8,.591,.565,1.7,2.0,.833,0.9,3.5,4.4,4.1,0.9,1.2,1.7,2.0,16.1,
4,Jrue Holiday,34,PG,37,37,30.6,4.2,9.4,.452,1.8,5.2,.349,2.4,4.2,.581,.549,1.3,1.5,.891,1.2,3.2,4.4,3.8,1.0,0.4,1.4,1.5,11.6,
5,Kristaps Porziņģis,29,C,19,19,28.1,6.2,13.4,.465,2.3,5.9,.384,3.9,7.5,.528,.549,4.1,4.8,.837,1.8,5.3,7.1,1.6,0.7,1.4,0.9,2.5,18.7,
6,Payton Pritchard,27,PG,44,0,27.7,5.0,10.8,.469,3.3,8.0,.410,1.8,2.8,.639,.622,1.1,1.3,.842,1.4,2.2,3.6,3.4,0.8,0.1,1.0,1.7,14.5,
7,Al Horford,38,C,34,25,27.1,3.1,7.2,.426,1.9,5.3,.369,1.1,1.9,.585,.561,0.3,0.4,.833,1.0,4.2,5.3,2.1,0.7,0.9,0.8,1.5,8.4,
8,Sam Hauser,27,PF,37,7,20.4,2.7,6.4,.430,2.1,5.4,.380,0.7,0.9,.714,.591,0.1,0.1,1.000,0.7,2.3,3.0,1.1,0.8,0.2,0.3,1.0,7.6,
9,Luke Kornet,29,C,38,5,16.8,1.9,3.1,.638,0.0,0.0,,1.9,3.1,.638,.638,1.0,1.4,.731,2.2,2.8,5.1,1.4,0.5,1.0,0.4,1.3,4.9,
10,Neemias Queta,25,C,36,5,15.0,2.3,3.4,.669,0.0,0.1,.000,2.3,3.3,.681,.669,0.8,1.1,.700,1.5,2.4,3.9,0.6,0.3,0.8,0.6,1.9,5.3,
11,Drew Peterson,25,PF,11,0,9.9,1.0,2.0,.500,0.6,1.5,.412,0.4,0.5,.800,.659,0.5,0.6,.857,0.5,1.6,2.1,0.7,0.2,0.2,0.5,0.9,3.2,
12,Jordan Walsh,20,PF,30,1,8.4,0.6,1.7,.365,0.4,1.2,.306,0.3,0.5,.500,.471,0.2,0.3,.500,0.4,0.8,1.2,0.3,0.3,0.3,0.2,0.6,1.8,
13,Xavier Tillman Sr.,26,C,25,1,7.4,0.4,1.5,.270,0.2,0.8,.200,0.2,0.7,.353,.324,0.0,0.1,.500,0.3,1.1,1.4,0.3,0.3,0.2,0.3,0.5,1.0,
14,Baylor Scheierman,24,SG,8,0,6.0,0.4,2.0,.188,0.1,1.4,.091,0.3,0.6,.400,.219,0.3,0.3,1.000,0.3,1.4,1.6,0.4,0.3,0.0,0.0,0.5,1.1,
15,JD Davison,22,PG,5,0,4.8,0.4,1.0,.400,0.2,0.6,.333,0.2,0.4,.500,.500,0.2,0.4,.500,0.0,0.4,0.4,0.2,0.2,0.0,1.2,0.2,1.2,
16,Jaden Springer,22,SG,20,0,4.8,0.3,1.1,.286,0.1,0.5,.200,0.2,0.6,.364,.333,0.7,1.0,.737,0.2,0.6,0.8,0.4,0.4,0.0,0.2,0.8,1.4,
