Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jayson Tatum,26,PF,42,42,36.3,9.1,20.0,.457,3.6,10.2,.354,5.5,9.8,.563,.547,5.3,6.6,.792,0.6,8.5,9.1,5.5,1.3,0.5,2.8,2.3,27.2,
2,Jaylen Brown,28,SF,38,38,35.5,8.4,18.7,.451,2.0,6.2,.326,6.4,12.5,.513,.505,4.1,5.4,.754,1.5,4.4,6.0,4.8,1.3,0.3,2.8,2.4,23.0,
3,Derrick White,30,SG,43,43,33.5,5.4,12.6,.433,3.3,8.8,.369,2.2,3.7,.584,.563,1.6,2.0,.833,1.0,3.4,4.4,4.1,0.9,1.2,1.7,1.9,15.8,
4,Jrue Holiday,34,PG,38,38,30.4,4.2,9.3,.448,1.8,5.1,.349,2.4,4.2,.570,.544,1.3,1.4,.891,1.2,3.2,4.3,3.7,1.0,0.4,1.4,1.5,11.4,
5,Kristaps Porziņģis,29,C,20,20,28.1,6.4,13.5,.470,2.3,5.9,.385,4.1,7.7,.536,.554,4.0,4.7,.840,1.8,5.4,7.1,1.7,0.7,1.4,1.0,2.5,18.9,
6,Payton Pritchard,27,PG,45,0,27.6,5.0,10.8,.462,3.2,7.9,.407,1.8,2.9,.612,.611,1.1,1.3,.847,1.4,2.2,3.5,3.4,0.8,0.2,1.0,1.6,14.3,
7,Al Horford,38,C,35,25,27.0,3.0,7.1,.422,1.9,5.2,.363,1.1,1.9,.582,.554,0.3,0.3,.833,1.0,4.2,5.2,2.1,0.7,0.9,0.8,1.5,8.2,
8,Sam Hauser,27,PF,38,7,20.2,2.7,6.3,.431,2.1,5.4,.382,0.7,0.9,.714,.594,0.1,0.1,1.000,0.7,2.3,3.0,1.0,0.7,0.2,0.3,1.0,7.5,
9,Luke Kornet,29,C,39,5,16.7,1.9,3.1,.630,0.0,0.0,,1.9,3.1,.630,.630,1.0,1.4,.741,2.3,2.8,5.0,1.4,0.5,1.0,0.4,1.4,4.9,
10,Neemias Queta,25,C,37,5,14.9,2.2,3.4,.669,0.0,0.1,.000,2.2,3.3,.680,.669,0.8,1.1,.714,1.5,2.4,3.8,0.6,0.4,0.8,0.6,1.8,5.3,
11,Drew Peterson,25,PF,11,0,9.9,1.0,2.0,.500,0.6,1.5,.412,0.4,0.5,.800,.659,0.5,0.6,.857,0.5,1.6,2.1,0.7,0.2,0.2,0.5,0.9,3.2,
12,Jordan Walsh,20,PF,31,1,8.4,0.6,1.7,.365,0.4,1.2,.306,0.3,0.5,.500,.471,0.2,0.3,.500,0.4,0.8,1.2,0.3,0.3,0.3,0.2,0.6,1.7,
13,Xavier Tillman Sr.,26,C,25,1,7.4,0.4,1.5,.270,0.2,0.8,.200,0.2,0.7,.353,.324,0.0,0.1,.500,0.3,1.1,1.4,0.3,0.3,0.2,0.3,0.5,1.0,
14,Baylor Scheierman,24,SG,9,0,6.0,0.3,1.9,.176,0.1,1.3,.083,0.2,0.6,.400,.206,0.2,0.2,1.000,0.2,1.2,1.4,0.4,0.2,0.0,0.0,0.7,1.0,
15,Jaden Springer,22,SG,21,0,5.0,0.5,1.2,.385,0.2,0.6,.333,0.3,0.7,.429,.462,0.7,0.9,.737,0.2,0.7,0.9,0.4,0.4,0.0,0.1,0.7,1.8,
16,JD Davison,22,PG,5,0,4.8,0.4,1.0,.400,0.2,0.6,.333,0.2,0.4,.500,.500,0.2,0.4,.500,0.0,0.4,0.4,0.2,0.2,0.0,1.2,0.2,1.2,
