Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Jaylen Brown,28,$49700000,$53676000,$57652000,$61628000,$65604000,,$288260000
Jayson Tatum,26,$34848340,$54126450,$58456566,$62786682,$67116798,$71446914,$277334836
Jrue Holiday,34,$30000000,$32400000,$34800000,$37200000,,,$97200000
Kristaps Porziņģis,29,$29268293,$30731707,,,,,$60000000
Derrick White,30,$20071429,$28100000,$30348000,$32596000,$34844000,,$111115429
Al Horford,38,$9500000,,,,,,$9500000
Payton Pritchard,26,$6696429,$7232143,$7767857,$8303571,,,$30000000
Jaden Springer,22,$4018363,,,,,,$4018363
Baylor Scheierman,24,$2494320,$2619000,$2744040,$4952993,,,$10191353
Xavier Tillman Sr.,26,$2237691,$2546675,,,,,$4784366
Neemias Queta,25,$2162606,$2349578,$2667944,,,,$2162606
Sam Hauser,27,$2092344,$10044644,$10848215,$11651785,$12455356,,$47092344
Luke Kornet,29,$2087519,,,,,,$2087519
Jordan Walsh,20,$1891857,$2221677,$2406205,,,,$2091857
Drew Peterson,25,,,,,,,
Anton Watson,24,,,,,,,
JD Davison,22,,,,,,,
