Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,James Harden,35,PG,41,41,33.6,6.2,15.7,.393,2.8,8.2,.342,3.4,7.5,.450,.483,6.1,6.8,.892,0.6,5.3,5.9,8.2,1.4,0.6,4.6,2.0,21.2,
2,Norman Powell,31,SG,36,36,32.9,8.2,16.8,.490,3.5,8.0,.433,4.8,8.8,.543,.594,3.8,4.5,.834,0.3,3.1,3.4,2.3,1.4,0.1,2.2,1.9,23.7,
3,Ivica Zubac,27,C,42,42,31.8,6.7,10.9,.613,0.0,0.0,,6.7,10.9,.613,.613,1.6,2.9,.558,3.8,8.8,12.6,2.5,0.7,1.2,1.8,1.9,14.9,
4,Amir Coffey,27,SG,43,10,26.0,3.7,7.8,.476,1.6,3.7,.422,2.1,4.0,.526,.578,1.6,1.8,.896,0.5,2.1,2.6,1.2,0.6,0.1,0.7,1.6,10.6,
5,Derrick Jones Jr.,27,SF,42,39,24.5,4.2,8.1,.518,1.0,2.8,.370,3.1,5.3,.597,.582,1.1,1.3,.804,1.2,2.3,3.5,0.8,1.3,0.3,0.9,2.0,10.5,
6,Kris Dunn,30,PG,42,29,22.6,2.5,5.9,.423,0.9,3.0,.305,1.5,2.8,.551,.502,0.1,0.3,.500,0.7,2.6,3.2,2.7,1.5,0.3,1.1,2.5,6.0,
7,Kawhi Leonard,33,SF,6,6,22.2,5.7,11.8,.479,1.2,3.7,.318,4.5,8.2,.551,.528,1.3,1.7,.800,0.5,2.8,3.3,1.5,1.2,0.0,1.3,0.3,13.8,
8,Terance Mann,28,SG,31,12,20.6,2.6,5.6,.462,0.7,2.1,.359,1.8,3.5,.523,.529,0.7,1.0,.700,0.8,2.1,3.0,1.8,0.9,0.3,0.7,1.9,6.6,
9,Kevin Porter Jr.,24,SG,39,2,19.8,3.9,9.3,.418,0.6,2.5,.247,3.3,6.8,.481,.452,1.2,1.8,.634,0.6,2.8,3.4,3.3,1.0,0.3,2.0,1.6,9.5,
10,Nicolas Batum,36,PF,43,1,17.6,1.1,2.8,.380,0.9,2.3,.374,0.2,0.5,.409,.533,0.2,0.3,.769,0.7,2.2,2.8,1.4,0.7,0.4,0.5,1.5,3.2,
11,Jordan Miller,25,SF,27,0,13.6,2.0,4.7,.429,0.3,1.3,.222,1.7,3.3,.511,.460,1.0,1.2,.788,0.8,1.1,1.9,1.1,0.6,0.2,0.8,0.8,5.3,
12,Mo Bamba,26,C,27,2,12.9,1.8,3.7,.475,0.6,1.8,.313,1.2,2.0,.623,.550,0.6,0.9,.680,1.0,3.5,4.4,0.6,0.3,1.0,0.7,1.8,4.7,
13,Bones Hyland,24,PG,19,0,11.3,2.2,5.8,.373,1.5,4.1,.377,0.6,1.7,.364,.505,1.1,1.3,.875,0.3,1.0,1.3,1.5,0.9,0.2,1.2,1.2,6.9,
14,Kobe Brown,25,PF,15,0,9.5,1.4,2.9,.477,0.3,1.0,.267,1.1,1.9,.586,.523,0.2,0.3,.750,0.9,2.0,2.9,0.8,0.2,0.1,0.3,0.9,3.3,
15,Trentyn Flowers,19,SF,2,0,8.0,2.0,4.5,.444,0.0,1.0,.000,2.0,3.5,.571,.444,0.5,0.5,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,1.5,4.5,
16,Kai Jones,24,C,27,0,7.6,0.9,1.3,.714,0.0,0.1,.000,0.9,1.2,.758,.714,0.3,0.4,.750,0.6,1.1,1.7,0.4,0.2,0.5,0.4,0.9,2.2,
17,Cam Christie,19,SG,5,0,5.8,0.4,1.8,.222,0.2,1.2,.167,0.2,0.6,.333,.278,0.2,0.4,.500,0.2,1.0,1.2,0.4,0.4,0.0,0.4,0.4,1.2,
