Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Kawhi Leonard,33,$49205800,$50000000,$50300000,,,,$149505800
James Harden,35,$33653846,$36346154,,,,,$33653846
Norman Powell,31,$19241379,$20482758,,,,,$39724137
Ivica Zubac,27,$11743210,$18102000,$19550160,$20998320,,,$70393690
P.J. Tucker,39,$11539000,,,,,,$11539000
Terance Mann,28,$11423077,$15500000,$15500000,$16000000,,,$58423077
Derrick Jones Jr.,27,$9523810,$10000000,$10476190,,,,$30000000
Kris Dunn,30,$5168000,$5426400,$5684800,,,,$10594400
Nicolas Batum,36,$4668000,$4901400,,,,,$4668000
Bones Hyland,24,$4158439,,,,,,$4158439
Amir Coffey,27,$3938271,,,,,,$3938271
Kobe Brown,25,$2533920,$2654880,$4792059,,,,$5188800
Kevin Porter Jr.,24,$2237691,$2546675,,,,,$2237691
Mo Bamba,26,$2087519,,,,,,$2087519
Cam Christie,19,$1157153,$1955377,$2296271,$2486995,,,$3112530
Trentyn Flowers,19,,,,,,,
Kai Jones,24,,,,,,,
Jordan Miller,25,,,,,,,
,,,,,,,,
Joshua Primo,22,$1000000,,,,,,$1000000
