Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Desmond Bane,26,SG,35,34,29.8,6.6,13.3,.496,2.3,5.9,.385,4.3,7.5,.582,.580,2.2,2.5,.865,0.8,4.7,5.5,5.3,1.3,0.5,2.5,2.5,17.7,
2,Jaren Jackson Jr.,25,C,42,42,29.4,8.3,16.8,.491,1.7,5.2,.336,6.5,11.7,.559,.542,4.3,5.5,.781,1.5,4.9,6.4,2.0,1.4,1.6,2.2,3.3,22.6,
3,Ja Morant,25,PG,26,26,28.6,7.2,16.0,.447,1.5,4.9,.307,5.7,11.1,.509,.494,5.3,6.5,.815,0.6,3.7,4.3,7.7,1.3,0.3,3.9,1.8,21.1,
4,Jaylen Wells,21,SG,44,39,26.2,4.2,9.5,.440,2.0,5.2,.388,2.2,4.3,.503,.546,1.5,1.9,.829,1.1,2.2,3.3,1.6,0.5,0.1,1.1,1.9,11.9,
5,Santi Aldama,24,PF,38,11,24.8,5.0,10.1,.492,1.7,4.6,.369,3.3,5.5,.596,.577,1.1,1.5,.707,1.6,5.4,6.9,2.7,0.9,0.5,1.2,1.0,12.7,
6,Jake LaRavia,23,PF,42,0,21.8,2.7,5.5,.491,0.9,2.1,.437,1.8,3.4,.524,.574,1.5,2.1,.711,1.4,3.0,4.4,3.1,0.9,0.5,1.5,2.0,7.8,
7,Scotty Pippen Jr.,24,PG,44,16,21.6,3.7,7.8,.470,1.1,2.9,.370,2.6,5.0,.528,.538,1.4,2.0,.674,0.7,2.6,3.3,4.6,1.2,0.4,1.8,2.5,9.8,
8,Luke Kennard,28,SG,31,1,21.5,3.1,6.5,.473,2.2,4.6,.479,0.9,2.0,.459,.640,1.1,1.2,.895,0.7,2.4,3.1,3.2,0.6,0.1,0.9,0.9,9.5,
9,Marcus Smart,30,PG,18,6,21.2,2.9,7.9,.373,1.6,4.8,.333,1.3,3.1,.436,.475,1.7,2.0,.833,0.8,1.6,2.3,3.8,1.3,0.3,1.9,1.7,9.2,
10,Zach Edey,22,C,30,23,20.5,3.8,6.6,.578,0.4,1.0,.379,3.5,5.7,.612,.606,1.2,1.9,.625,3.2,4.1,7.2,0.9,0.6,1.0,1.5,2.8,9.2,
11,Brandon Clarke,28,PF,41,18,18.5,3.4,5.5,.613,0.0,0.4,.063,3.3,5.1,.656,.616,0.8,1.2,.673,1.7,3.2,4.9,1.0,0.8,0.5,0.6,2.4,7.6,
12,Vince Williams Jr.,24,SG,3,0,15.0,2.3,6.3,.368,0.3,2.7,.125,2.0,3.7,.545,.395,0.3,1.3,.250,1.3,2.3,3.7,3.0,0.0,0.7,2.3,3.0,5.3,
13,John Konchar,28,SG,22,3,14.2,1.0,2.6,.397,0.5,1.9,.293,0.5,0.8,.647,.500,0.2,0.3,.833,1.1,3.0,4.2,1.2,0.6,0.5,0.5,1.0,2.9,
14,Jay Huff,26,C,39,1,14.2,3.0,5.7,.527,1.6,3.8,.419,1.4,1.9,.737,.665,0.9,1.2,.771,0.5,1.9,2.4,0.7,0.3,1.0,0.7,1.6,8.6,
15,Cam Spencer,24,SG,10,0,12.1,1.3,3.0,.433,0.5,1.6,.313,0.8,1.4,.571,.517,0.9,0.9,1.000,0.5,1.2,1.7,1.6,0.3,0.1,0.5,1.1,4.0,
16,GG Jackson II,20,PF,2,0,10.5,1.5,3.5,.429,0.5,2.0,.250,1.0,1.5,.667,.500,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.5,0.0,3.5,
17,Colin Castleton,24,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4,
18,Yuki Kawamura,23,PG,17,0,3.3,0.5,1.2,.381,0.2,0.9,.267,0.2,0.4,.667,.476,0.2,0.4,.667,0.0,0.4,0.4,0.7,0.1,0.0,0.2,0.4,1.4,
