Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Ja Morant,25,$36725670,$39446090,$42166510,$44886930,,,$163225200
Desmond Bane,26,$34005250,$36725670,$39446090,$42166510,$44886930,,$197230450
Jaren Jackson Jr.,25,$25257798,$23413395,,,,,$48671193
Marcus Smart,30,$20210284,$21586855,,,,,$41797139
Brandon Clarke,28,$12500000,$12500000,$12500000,,,,$37500000
Luke Kennard,28,$9250000,,,,,,$9250000
John Konchar,28,$6165000,$6165000,$6165000,,,,$18495000
Zach Edey,22,$5756880,$6045000,$6332760,$8067937,,,$11801880
Santi Aldama,24,$3960531,,,,,,$3960531
Jake LaRavia,23,$3352680,$5163127,,,,,$3352680
Vince Williams Jr.,24,$2120693,$2301587,$2489752,,,,$4422280
Jay Huff,26,$2088033,$2349578,$2667944,$3005085,,,$4437611
Scotty Pippen Jr.,24,$2087519,$2270735,$2461462,$2789215,,,$4358254
GG Jackson II,20,$1891857,$2221677,$2406205,,,,$4113534
Jaylen Wells,21,$1157153,$1955377,$2296271,$2486995,,,$3112530
Yuki Kawamura,23,,,,,,,
Zyon Pullin,23,,,,,,,
Cam Spencer,24,,,,,,,
,,,,,,,,
Kennedy Chandler,22,$2019699,,,,,,$2019699
Mamadi Diakite,28,$464050,$464050,$464050,,,,$1392150
