Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Trae Young,26,PG,41,41,36.0,7.0,17.5,.401,3.0,8.5,.346,4.0,8.9,.454,.485,6.0,7.0,.860,0.5,2.8,3.3,11.7,1.3,0.2,4.4,2.0,22.9,
2,Jalen Johnson,23,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,
3,Dyson Daniels,21,SG,40,40,33.6,5.8,12.4,.468,1.2,3.7,.309,4.6,8.6,.536,.514,0.9,1.5,.576,1.8,3.4,5.2,3.6,3.1,0.8,1.8,2.5,13.6,
4,De'Andre Hunter,27,SF,31,2,28.2,6.0,13.2,.457,2.6,6.5,.399,3.4,6.6,.515,.556,4.0,4.7,.856,0.6,3.1,3.7,1.5,0.9,0.1,1.5,2.4,18.7,
5,Daeqwon Plowden,26,SG,1,0,25.0,7.0,8.0,.875,5.0,6.0,.833,2.0,2.0,1.000,1.188,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,1.0,4.0,19.0,
6,Bogdan Bogdanović,32,SG,23,0,24.9,3.5,9.2,.382,1.9,6.1,.314,1.6,3.1,.514,.486,1.3,1.5,.882,0.4,2.2,2.6,2.0,0.8,0.2,1.6,2.4,10.3,
7,Onyeka Okongwu,24,C,37,3,24.4,4.6,8.3,.556,0.4,1.5,.246,4.2,6.7,.627,.578,2.1,2.8,.765,3.0,4.8,7.8,1.9,0.8,0.9,0.9,2.2,11.7,
8,Zaccharie Risacher,19,SF,39,37,23.7,3.9,9.8,.403,1.2,4.1,.281,2.8,5.7,.491,.462,1.5,2.1,.713,1.3,2.2,3.5,1.2,0.8,0.5,1.2,2.1,10.5,
9,Clint Capela,30,C,43,41,22.7,4.2,7.4,.572,0.0,0.0,,4.2,7.4,.572,.572,1.0,1.9,.549,3.3,5.7,9.0,1.2,0.6,1.0,1.0,2.0,9.5,
10,Larry Nance Jr.,32,PF,15,2,19.4,3.7,6.3,.585,1.7,3.3,.520,1.9,2.9,.659,.723,0.5,0.5,.875,1.1,3.2,4.3,1.6,1.1,0.7,0.7,1.5,9.5,
11,Vit Krejci,24,PG,29,12,18.7,2.1,4.9,.434,1.2,3.1,.374,1.0,1.8,.538,.552,0.4,0.6,.765,0.4,1.9,2.3,2.5,0.7,0.4,0.8,1.8,5.9,
12,Garrison Mathews,28,SG,35,2,18.3,2.3,5.7,.408,1.9,4.9,.400,0.4,0.9,.452,.577,1.6,1.9,.821,0.3,1.4,1.7,1.5,0.7,0.3,0.6,1.7,8.2,
13,Keaton Wallace,25,PG,17,2,16.8,2.3,5.2,.438,1.0,2.6,.386,1.3,2.6,.489,.534,0.4,0.4,1.000,0.2,1.5,1.6,2.1,1.0,0.4,1.1,1.1,6.0,
14,David Roddy,23,PF,24,2,13.2,1.8,3.6,.488,0.7,1.7,.390,1.1,1.9,.578,.581,0.7,0.8,.800,0.4,2.2,2.6,1.2,0.5,0.3,0.8,0.7,4.8,
15,Kobe Bufkin,21,SG,10,0,12.4,1.8,4.7,.383,0.4,1.9,.211,1.4,2.8,.500,.426,1.3,1.8,.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,
16,Dominick Barlow,21,SF,8,0,6.0,0.8,1.6,.462,0.3,0.4,.667,0.5,1.3,.400,.538,0.4,0.5,.750,0.0,0.8,0.8,0.3,0.4,0.0,0.0,0.4,2.1,
17,Mouhamed Gueye,22,PF,2,0,5.5,0.5,2.0,.250,0.0,1.0,.000,0.5,1.0,.500,.250,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,
