Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Trae Young,26,$43031940,$45999660,$48967380,,,,$89031600
Clint Capela,30,$22265280,,,,,,$22265280
De'Andre Hunter,27,$21696429,$23303571,$24910714,,,,$69910714
Bogdan Bogdanović,32,$17260000,$16020000,$16020000,,,,$33280000
Onyeka Okongwu,24,$14000000,$15000000,$16120000,$16880000,,,$62000000
Zaccharie Risacher,19,$12569040,$13197720,$13826040,$17434637,,,$25766760
Larry Nance Jr.,32,$11205000,,,,,,$11205000
Dyson Daniels,21,$6059520,$7707709,,,,,$13767229
Jalen Johnson,23,$4510905,$30000000,$30000000,$30000000,$30000000,$30000000,$154510905
Kobe Bufkin,21,$4299000,$4503720,$6904203,,,,$8802720
Cody Zeller,32,$3500000,$3675000,$3850000,,,,$3500000
David Roddy,23,$2847240,$4831766,,,,,$2847240
Garrison Mathews,28,$2230253,,,,,,$2230253
Vit Krejci,24,$2162606,$2349578,$2667944,$3005085,,,$2162606
Mouhamed Gueye,22,$1891857,$2221677,$2406205,,,,$1891857
Daeqwon Plowden,26,,,,,,,
Keaton Wallace,25,,,,,,,
Dominick Barlow,21,,,,,,,
