Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Tyler Herro,25,SG,41,41,35.3,8.3,17.4,.478,3.9,9.6,.407,4.4,7.9,.565,.590,3.5,4.0,.866,0.3,5.4,5.7,5.0,0.7,0.1,2.4,1.4,24.0,
2,Bam Adebayo,27,C,41,41,33.5,6.0,13.2,.455,0.7,2.5,.272,5.3,10.7,.498,.481,2.9,4.0,.721,2.4,7.3,9.7,4.5,1.4,0.8,2.1,2.1,15.6,
3,Jimmy Butler,35,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,
4,Terry Rozier,30,PG,38,21,28.5,4.4,10.9,.404,1.5,5.2,.294,2.9,5.7,.505,.475,1.7,1.8,.913,0.7,3.4,4.0,2.9,0.6,0.3,1.5,1.4,12.0,
5,Haywood Highsmith,28,SF,40,32,24.5,2.6,5.3,.484,1.3,3.1,.415,1.3,2.3,.578,.603,0.4,0.6,.667,0.9,2.4,3.2,1.2,1.0,0.6,0.8,2.0,6.8,
6,Jaime Jaquez Jr.,23,SF,38,10,23.7,3.5,7.8,.448,0.7,2.1,.325,2.8,5.7,.493,.492,1.9,2.6,.735,1.3,3.5,4.8,2.7,1.3,0.2,1.6,1.6,9.6,
7,Duncan Robinson,30,SF,40,22,23.5,3.9,9.2,.427,2.5,6.6,.385,1.4,2.7,.528,.564,0.6,0.7,.893,0.3,2.1,2.4,2.7,0.5,0.1,1.0,2.1,11.0,
8,Nikola Jović,21,PF,33,10,23.3,3.5,7.8,.444,1.5,4.2,.365,2.0,3.7,.533,.541,1.7,2.1,.838,0.6,3.2,3.9,2.8,0.8,0.3,1.1,1.5,10.2,
9,Dru Smith,27,SG,14,1,19.1,2.2,4.4,.508,1.1,2.1,.533,1.1,2.2,.484,.639,0.6,0.9,.750,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2,
10,Josh Richardson,31,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,
11,Alec Burks,33,SG,25,0,16.1,1.7,4.2,.413,1.3,3.1,.429,0.4,1.1,.370,.572,0.8,1.0,.808,0.3,1.7,2.0,1.0,0.5,0.2,0.4,0.6,5.6,
12,Kel'el Ware,20,C,27,1,14.9,3.2,5.6,.566,0.6,1.5,.390,2.6,4.1,.631,.618,0.8,1.1,.724,1.0,3.4,4.4,0.6,0.4,1.0,0.5,1.1,7.7,
13,Pelle Larsson,23,SG,26,0,13.0,1.6,3.3,.477,0.5,1.5,.325,1.1,1.8,.609,.552,0.7,1.1,.643,0.4,1.0,1.5,1.0,0.5,0.1,0.4,1.7,4.3,
14,Kevin Love,36,PF,17,6,11.6,2.1,5.8,.354,1.2,3.4,.362,0.8,2.4,.341,.460,0.8,1.1,.684,1.0,3.4,4.4,1.1,0.8,0.1,0.8,0.9,6.1,
15,Thomas Bryant,27,C,10,0,11.5,1.2,2.8,.429,0.6,1.7,.353,0.6,1.1,.545,.536,1.1,1.1,1.000,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,
16,Keshad Johnson,23,SF,9,0,5.9,0.7,1.1,.600,0.1,0.4,.250,0.6,0.7,.833,.650,0.1,0.4,.250,0.1,1.6,1.7,0.3,0.1,0.4,0.3,0.6,1.6,
17,Josh Christopher,23,SG,6,0,3.7,0.3,0.8,.400,0.0,0.2,.000,0.3,0.7,.500,.400,0.2,0.3,.500,0.0,0.3,0.3,0.7,0.0,0.2,0.7,0.2,0.8,
