Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Jimmy Butler,35,$48798677,$52413394,,,,,$48798677
Bam Adebayo,27,$34848340,$37096620,$48713700,$52610796,$56507892,,$173269456
Tyler Herro,25,$29000000,$31000000,$33000000,,,,$93000000
Terry Rozier,30,$24924126,$26643031,,,,,$51567157
Duncan Robinson,30,$19406000,$19888000,,,,,$29294000
Haywood Highsmith,28,$5200000,$5616000,,,,,$10816000
Kel'el Ware,20,$4231800,$4443360,$4654920,$7135992,,,$8675160
Kevin Love,36,$3850000,$4150000,,,,,$8000000
Jaime Jaquez Jr.,23,$3685800,$3861600,$5939141,,,,$7547400
Josh Richardson,31,$3051153,,,,,,$3051153
Nikola Jović,21,$2464200,$4445417,,,,,$6909617
Alec Burks,33,$2087519,,,,,,$2087519
Pelle Larsson,23,$1157153,$1955377,$2296271,,,,$1157153
Keshad Johnson,23,,,,,,,
Josh Christopher,23,,,,,,,
Dru Smith,27,,,,,,,
Isaiah Stevens,24,,,,,,,
