Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,LaMelo Ball,23,PG,29,29,34.2,10.0,24.0,.419,4.2,12.6,.335,5.8,11.4,.511,.506,4.7,5.7,.835,1.0,4.4,5.4,7.5,1.3,0.3,3.8,3.6,29.0,
2,Brandon Miller,22,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,
3,Miles Bridges,26,PF,27,27,31.6,6.6,15.3,.432,2.1,6.7,.315,4.5,8.6,.524,.501,3.1,3.6,.885,0.9,6.5,7.4,3.7,0.7,0.6,2.1,1.6,18.5,
4,Grant Williams,26,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,
5,Josh Green,24,SG,38,37,28.1,2.4,5.9,.412,1.4,3.5,.394,1.1,2.5,.436,.527,0.7,1.0,.658,1.1,1.7,2.9,1.4,1.1,0.3,0.9,2.8,6.9,
6,Cody Martin,29,SF,38,7,25.3,3.1,7.0,.438,1.1,3.2,.325,2.0,3.7,.535,.513,0.9,1.3,.694,1.0,3.6,4.6,2.3,1.1,0.7,1.1,1.9,8.1,
7,Tre Mann,23,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,
8,Mark Williams,23,C,18,15,23.4,6.2,9.8,.633,0.0,0.1,.000,6.2,9.8,.636,.633,3.3,4.3,.756,3.4,6.1,9.4,2.3,0.7,1.1,1.2,2.4,15.7,
9,Nick Richards,27,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,
10,Vasilije Micić,31,PG,29,11,19.7,2.3,7.0,.330,1.1,3.3,.323,1.2,3.7,.336,.406,0.8,1.0,.786,0.6,1.8,2.3,3.4,0.5,0.0,1.8,1.1,6.4,
11,Tidjane Salaün,19,PF,34,8,18.4,1.6,5.0,.318,0.9,3.1,.280,0.7,1.9,.381,.406,0.6,0.9,.677,1.0,3.1,4.1,1.1,0.6,0.2,0.9,1.3,4.7,
12,Moussa Diabaté,23,C,33,4,17.8,1.6,2.6,.605,0.0,0.0,,1.6,2.6,.605,.605,0.4,0.8,.500,2.9,3.5,6.4,0.6,0.6,0.8,0.8,1.6,3.6,
13,DaQuan Jeffries,27,SG,9,0,17.0,2.7,5.0,.533,1.0,2.2,.450,1.7,2.8,.600,.633,0.3,0.4,.750,0.7,2.0,2.7,0.6,0.6,0.6,0.7,1.6,6.7,
14,Josh Okogie,26,SG,2,0,16.0,2.0,5.5,.364,1.5,2.5,.600,0.5,3.0,.167,.500,0.0,0.0,,0.5,1.5,2.0,0.5,2.5,0.5,0.5,1.0,5.5,
15,KJ Simpson,22,PG,12,0,14.4,1.5,5.1,.295,0.4,2.4,.172,1.1,2.7,.406,.336,0.8,1.3,.667,1.0,0.8,1.8,1.7,0.8,0.2,1.0,1.3,4.3,
16,Isaiah Wong,24,SG,11,0,13.5,2.0,5.5,.367,0.4,1.7,.211,1.6,3.7,.439,.400,1.7,2.5,.679,1.1,1.0,2.1,1.7,0.5,0.0,1.0,1.0,6.1,
17,Seth Curry,34,SG,34,8,13.4,2.0,4.1,.486,0.9,2.1,.444,1.1,2.0,.529,.600,0.4,0.4,.867,0.4,0.9,1.3,0.5,0.4,0.1,0.4,1.0,5.3,
18,Nick Smith Jr.,20,SG,22,3,13.3,2.2,5.5,.397,1.2,3.1,.391,1.0,2.4,.404,.508,0.0,0.1,.500,0.2,1.4,1.6,1.2,0.4,0.1,0.6,0.5,5.6,
19,Taj Gibson,39,C,16,8,10.4,1.0,2.1,.471,0.1,0.1,.500,0.9,2.0,.469,.485,0.3,0.5,.625,1.3,1.6,2.9,0.4,0.4,0.3,0.6,1.3,2.4,
20,Jared Rhoden,25,SG,4,0,3.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,0.5,0.3,0.0,0.3,0.3,1.0,
