Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
LaMelo Ball,23,$35147000,$37958760,$40770520,$43582280,$46394040,,$203852600
Miles Bridges,26,$27173913,$25000000,$22826087,,,,$75000000
Grant Williams,26,$13025250,$13645500,$14265750,,,,$40936500
Josh Green,24,$12654321,$13666667,$14679012,,,,$41000000
Brandon Miller,22,$11424600,$11968800,$15104626,,,,$23393400
Josh Okogie,26,$8250000,$7750000,,,,,$8250000
Cody Martin,29,$8120000,$8680000,,,,,$8120000
Vasilije Micić,31,$7723000,$8109150,,,,,$7723000
Tidjane Salaün,19,$7488720,$7863240,$8237880,$10445633,,,$15351960
Tre Mann,23,$4908373,,,,,,$4908373
Mark Williams,23,$4094280,$6276531,,,,,$10370811
DaQuan Jeffries,27,$3080918,$2743776,$2425404,,,,$2425404
Nick Smith Jr.,20,$2587200,$2710680,$4890067,,,,$5297880
Seth Curry,34,$2087519,,,,,,$2087519
Taj Gibson,39,$2087519,,,,,,
Isaiah Wong,23,,,,,,,
KJ Simpson,22,,,,,,,
Moussa Diabaté,23,,,,,,,
,,,,,,,,
Dāvis Bertāns,32,$5250000,,,,,,$5250000
Charlie Brown Jr.,27,$2237692,,,,,,$2237692
Duane Washington Jr.,24,$2162607,,,,,,$2162607
Reggie Jackson,34,$1946229,,,,,,$1946229
