Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Lauri Markkanen,27,PF,32,32,31.7,6.3,14.8,.427,3.1,8.4,.363,3.3,6.4,.512,.531,4.3,4.8,.883,1.8,4.3,6.1,1.8,0.8,0.3,1.4,1.7,20.0,
2,Keyonte George,21,PG,32,32,31.6,5.5,14.0,.391,2.8,7.9,.349,2.7,6.1,.444,.489,2.8,3.5,.804,0.5,3.0,3.5,5.8,0.8,0.2,3.0,1.8,16.5,
3,John Collins,27,PF,28,19,29.8,6.6,12.5,.531,1.5,3.3,.446,5.2,9.2,.562,.590,3.3,3.8,.869,2.4,6.0,8.4,2.5,1.1,0.9,2.6,2.9,18.1,
4,Walker Kessler,23,C,34,34,29.8,4.9,6.7,.727,0.1,0.1,.500,4.8,6.6,.731,.731,1.5,2.8,.543,4.5,7.0,11.5,1.5,0.5,2.4,1.4,2.1,11.3,
5,Collin Sexton,26,SG,40,38,29.0,6.6,13.7,.480,1.9,4.6,.413,4.7,9.1,.514,.549,3.3,3.7,.890,1.0,1.9,2.9,4.1,0.7,0.1,2.6,2.2,18.3,
6,Jordan Clarkson,32,SG,22,3,25.5,5.4,13.1,.413,1.9,5.5,.339,3.5,7.6,.467,.484,3.3,4.1,.811,0.6,2.7,3.4,3.8,0.9,0.3,2.5,1.5,16.0,
7,Taylor Hendricks,21,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,
8,Cody Williams,20,SG,26,12,21.0,1.4,4.6,.300,0.6,2.4,.238,0.8,2.2,.368,.363,0.5,0.8,.636,0.5,1.7,2.2,1.3,0.5,0.4,0.8,1.9,3.9,
9,Isaiah Collier,20,PG,34,9,20.9,1.9,5.5,.351,0.4,2.0,.224,1.5,3.6,.421,.391,0.7,1.1,.605,0.4,2.4,2.7,4.7,0.7,0.2,2.6,2.0,5.0,
10,Brice Sensabaugh,21,SF,32,0,18.5,3.7,7.9,.464,1.9,4.8,.395,1.8,3.1,.570,.583,1.0,1.0,.939,0.6,2.2,2.8,1.4,0.5,0.1,1.6,1.4,10.2,
11,Svi Mykhailiuk,27,SF,16,7,18.4,3.6,8.4,.425,2.1,6.1,.351,1.4,2.3,.622,.552,0.7,0.9,.786,0.3,1.8,2.1,1.8,0.8,0.3,1.7,1.3,9.9,
12,Kyle Filipowski,21,C,32,8,18.2,2.3,4.7,.477,0.6,2.0,.297,1.7,2.7,.609,.540,0.8,1.4,.600,1.0,3.8,4.8,1.7,0.6,0.1,1.0,1.9,5.9,
13,Johnny Juzang,23,SG,32,5,17.8,2.5,5.9,.418,1.7,4.2,.400,0.8,1.7,.463,.561,0.7,0.8,.880,0.6,2.2,2.8,1.0,0.4,0.2,0.5,1.9,7.3,
14,Micah Potter,26,C,16,6,17.3,1.2,3.1,.380,0.8,2.4,.333,0.4,0.7,.545,.510,0.2,0.2,1.000,1.1,2.8,3.9,0.8,0.3,0.4,0.6,1.1,3.4,
15,Elijah Harkless,24,SG,6,0,16.0,1.0,3.5,.286,0.7,2.7,.250,0.3,0.8,.400,.381,0.5,1.0,.500,1.0,1.2,2.2,0.8,1.2,0.0,0.3,1.8,3.2,
16,Patty Mills,36,PG,16,0,15.4,1.6,4.6,.351,1.1,3.4,.309,0.6,1.2,.474,.466,0.3,0.3,1.000,0.2,1.0,1.2,1.3,0.8,0.2,1.0,0.8,4.6,
17,Oscar Tshiebwe,25,C,3,0,15.3,1.3,2.0,.667,0.0,0.0,,1.3,2.0,.667,.667,2.0,2.7,.750,1.7,5.0,6.7,0.0,1.3,0.0,0.3,3.3,4.7,
18,Drew Eubanks,27,C,33,2,15.2,2.3,3.7,.615,0.1,0.2,.600,2.2,3.5,.615,.627,1.1,1.6,.648,1.1,3.5,4.6,1.2,0.3,0.8,0.9,1.3,5.7,
