Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Lauri Markkanen,27,$42176400,$46394100,$46113154,$49824681,$53536209,,$238044544
John Collins,27,$26580000,$26580000,,,,,$26580000
Collin Sexton,26,$18350000,$19175000,,,,,$37525000
Jordan Clarkson,32,$14092577,$14285714,,,,,$28378291
Taylor Hendricks,21,$5848680,$6127080,$7805900,,,,$11975760
Cody Williams,20,$5469120,$5742480,$6015600,$7669890,,,$11211600
Drew Eubanks,27,$5000000,$4750000,,,,,$5000000
Keyonte George,21,$4084200,$4278960,$6563925,,,,$8363160
Svi Mykhailiuk,27,$3500000,$3675000,$3850000,$4025000,,,$3500000
Johnny Juzang,23,$3087519,$2840518,$2708000,$2789215,,,$3087519
Kyle Filipowski,21,$3000000,$3000000,$3000000,$3000000,,,$6000000
Walker Kessler,23,$2965920,$4878938,,,,,$7844858
Brice Sensabaugh,21,$2571480,$2693760,$4862237,,,,$5265240
Isaiah Collier,20,$2512680,$2638200,$2763960,$4988948,,,$5150880
Patty Mills,36,$2087519,,,,,,$2087519
Micah Potter,26,,,,,,,
Elijah Harkless,24,,,,,,,
Oscar Tshiebwe,25,,,,,,,
,,,,,,,,
Russell Westbrook,36,$2327525,,,,,,$2327525
