Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,De'Aaron Fox,27,PG,41,41,37.2,9.3,19.8,.470,2.0,6.3,.317,7.3,13.5,.542,.520,4.8,5.8,.823,1.1,4.1,5.1,6.2,1.6,0.4,3.1,2.7,25.4,
2,Domantas Sabonis,28,C,41,41,36.1,8.2,13.7,.601,1.2,2.5,.475,7.1,11.2,.629,.644,3.3,4.2,.780,3.9,10.5,14.4,6.2,0.7,0.5,3.0,3.6,21.0,
3,DeMar DeRozan,35,SF,39,39,35.8,8.2,16.8,.484,0.8,2.6,.320,7.3,14.2,.514,.509,4.7,5.5,.860,0.6,3.3,3.9,3.7,1.2,0.5,1.4,2.1,21.9,
4,Keegan Murray,24,PF,41,41,35.4,4.6,10.8,.423,1.8,5.7,.321,2.8,5.1,.538,.508,0.9,1.0,.837,2.2,5.0,7.2,1.4,0.8,0.9,0.9,2.7,11.9,
5,Malik Monk,26,SG,36,23,31.6,6.3,14.3,.441,2.3,6.9,.336,3.9,7.3,.540,.522,2.7,3.1,.883,0.4,3.3,3.6,5.6,1.0,0.5,1.9,2.6,17.6,
6,Kevin Huerter,26,SG,40,15,21.8,3.1,7.5,.413,1.5,4.9,.299,1.6,2.6,.631,.512,0.5,0.7,.704,0.5,2.5,2.9,1.8,0.9,0.4,0.9,1.8,8.2,
7,Keon Ellis,25,SG,42,10,21.4,2.5,5.1,.488,1.6,3.6,.444,0.9,1.5,.594,.644,1.0,1.2,.860,0.8,1.6,2.4,1.3,1.4,0.7,0.8,1.9,7.6,
8,Trey Lyles,29,PF,34,2,20.5,2.3,5.8,.401,1.4,4.1,.353,0.9,1.7,.517,.525,0.9,1.1,.763,1.0,3.8,4.8,1.0,0.6,0.5,0.6,1.3,6.9,
9,Jae Crowder,34,PF,7,2,13.1,0.9,2.4,.353,0.4,1.7,.250,0.4,0.7,.600,.441,0.7,0.9,.833,0.9,1.6,2.4,0.6,0.4,0.0,0.6,1.4,2.9,
10,Devin Carter,22,PG,9,0,11.1,1.3,4.2,.316,0.7,2.3,.286,0.7,1.9,.353,.395,0.8,1.1,.700,0.4,2.4,2.9,1.3,0.1,0.3,0.4,1.0,4.1,
11,Doug McDermott,33,SF,27,3,8.6,1.3,3.0,.450,1.1,2.6,.449,0.2,0.4,.455,.644,0.1,0.2,.600,0.1,0.5,0.6,0.1,0.1,0.0,0.2,0.9,3.9,
12,Isaac Jones,24,PF,22,0,8.0,1.5,2.2,.653,0.0,0.2,.250,1.4,2.0,.689,.663,0.5,0.9,.550,0.5,1.0,1.4,0.2,0.1,0.4,0.5,1.0,3.5,
13,Alex Len,31,C,32,3,7.6,0.7,1.3,.550,0.0,0.2,.200,0.7,1.1,.600,.563,0.2,0.4,.538,0.8,1.2,1.9,0.9,0.3,0.6,0.3,1.0,1.6,
14,Jordan McLaughlin,28,PG,26,0,6.9,0.6,1.6,.381,0.4,1.0,.400,0.2,0.7,.353,.500,0.4,0.5,.714,0.2,0.7,0.8,0.9,0.4,0.0,0.4,0.5,2.0,
15,Orlando Robinson,24,C,9,0,6.3,0.8,1.9,.412,0.1,0.6,.200,0.7,1.3,.500,.441,0.4,0.8,.571,0.3,1.2,1.6,1.0,0.3,0.1,0.4,0.7,2.1,
16,Colby Jones,22,SG,23,0,5.3,0.5,1.1,.440,0.2,0.4,.444,0.3,0.7,.438,.520,0.0,0.0,,0.3,0.6,0.9,0.2,0.2,0.3,0.3,0.6,1.1,
17,Mason Jones,26,SG,3,0,4.3,0.0,0.7,.000,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,,0.3,1.0,1.3,2.3,0.0,0.0,0.0,0.3,0.0,
18,Isaiah Crawford,23,SF,3,0,3.0,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.7,
