Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Domantas Sabonis,28,$40500000,$43636000,$46772000,$49908000,,,$180816000
De'Aaron Fox,27,$34848340,$37096620,,,,,$71944960
DeMar DeRozan,35,$23400000,$24570000,$25740000,,,,$47970000
Malik Monk,26,$17405203,$18797619,$20190035,$21582451,,,$56392857
Kevin Huerter,26,$16830357,$17991071,,,,,$34821428
Keegan Murray,24,$8809560,$11144093,,,,,$19953653
Trey Lyles,29,$8000000,,,,,,$8000000
Devin Carter,22,$4689000,$4923720,$5158080,$7370897,,,$9612720
Keon Ellis,25,$2120693,$2301587,,,,,
Colby Jones,22,$2120693,$2221677,$2406205,,,,$2120693
Alex Len,31,$2087519,,,,,,$2087519
Doug McDermott,33,$2087519,,,,,,
Jordan McLaughlin,28,$2087519,,,,,,$2087519
Mason Jones,26,,,,,,,
Isaac Jones,24,,,,,,,
Jae Crowder,34,,,,,,,
Isaiah Crawford,23,,,,,,,
,,,,,,,,
Orlando Robinson,24,$959779,,,,,,$959779
