Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Mikal Bridges,28,SF,45,45,38.6,7.3,15.0,.490,2.4,6.8,.352,5.0,8.2,.603,.569,0.8,1.2,.731,0.9,2.2,3.1,3.2,1.0,0.5,1.5,1.4,17.9,
2,Josh Hart,29,SG,44,44,37.8,5.3,9.5,.557,1.2,3.4,.362,4.1,6.1,.665,.622,2.2,2.7,.814,2.2,7.4,9.6,5.6,1.5,0.3,2.0,2.7,14.0,
3,OG Anunoby,27,PF,45,45,36.7,6.0,12.8,.471,2.0,5.8,.344,4.0,7.0,.576,.549,1.9,2.4,.806,1.3,3.5,4.8,2.0,1.4,0.9,1.4,2.4,16.0,
4,Jalen Brunson,28,PG,44,44,35.3,8.9,18.4,.486,2.3,5.9,.391,6.6,12.5,.531,.549,5.8,7.1,.817,0.4,2.5,3.0,7.3,0.9,0.0,2.4,2.2,26.0,
5,Karl-Anthony Towns,29,C,40,40,34.9,9.0,16.5,.545,2.1,4.9,.433,6.9,11.7,.591,.608,5.0,6.0,.836,3.0,10.9,13.9,3.5,1.0,0.9,2.7,3.6,25.1,
6,Miles McBride,24,PG,35,0,23.5,3.3,7.7,.424,1.7,4.6,.381,1.5,3.2,.486,.537,0.9,1.1,.816,0.8,1.7,2.5,2.9,0.8,0.2,0.8,1.5,9.2,
7,Precious Achiuwa,25,C,24,1,18.8,2.3,4.4,.528,0.3,0.7,.375,2.1,3.8,.556,.557,0.5,1.0,.520,1.8,3.8,5.5,1.0,0.8,0.8,0.8,1.5,5.5,
8,Cameron Payne,30,PG,39,1,14.7,2.6,6.0,.438,1.6,3.7,.421,1.1,2.3,.467,.568,0.6,0.6,.880,0.3,1.2,1.4,2.5,0.6,0.3,0.7,1.7,7.4,
9,Jericho Sims,26,C,34,5,12.1,0.8,1.3,.600,0.0,0.0,,0.8,1.3,.600,.600,0.2,0.4,.615,1.4,2.3,3.7,0.6,0.2,0.3,0.6,1.4,1.8,
10,Landry Shamet,27,SG,14,0,11.0,1.1,2.8,.410,0.3,1.4,.200,0.9,1.4,.632,.462,0.1,0.1,.500,0.2,0.5,0.7,0.4,0.5,0.1,0.4,0.7,2.6,
11,Ariel Hukporti,22,C,15,0,7.9,0.7,1.1,.625,0.0,0.0,,0.7,1.1,.625,.625,0.3,0.5,.500,0.3,1.5,1.9,0.4,0.0,0.7,0.7,1.0,1.6,
12,Pacome Dadiet,19,SG,13,0,6.4,0.5,1.5,.300,0.4,1.1,.357,0.1,0.5,.167,.425,0.2,0.2,1.000,0.0,1.0,1.0,0.4,0.1,0.2,0.1,0.4,1.5,
13,Tyler Kolek,23,PG,25,0,5.5,0.7,1.8,.386,0.4,1.0,.385,0.3,0.7,.389,.500,0.2,0.2,1.000,0.1,0.5,0.6,0.7,0.3,0.0,0.3,0.5,2.0,
14,Matt Ryan,27,SF,14,0,4.0,0.6,1.8,.360,0.4,1.1,.313,0.3,0.6,.444,.460,0.1,0.1,1.000,0.0,0.4,0.4,0.0,0.1,0.0,0.2,0.1,1.8,
15,Jacob Toppin,24,SF,13,0,3.1,0.2,0.7,.333,0.0,0.2,.000,0.2,0.5,.429,.333,0.0,0.0,,0.2,0.5,0.7,0.3,0.1,0.0,0.2,0.2,0.5,
