Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Karl-Anthony Towns,29,$49205800,$53142264,$57078728,$61015192,,,$159426792
OG Anunoby,27,$36637932,$39568966,$42500000,$45431034,$48362068,,$164137932
Jalen Brunson,28,$24960001,$34944001,$37739521,$40535041,$43330561,,$138178564
Mikal Bridges,28,$23300000,$24900000,,,,,$48200000
Josh Hart,29,$18144000,$19472240,$20923760,$22375280,,,$58540000
Mitchell Robinson,26,$14318182,$12954546,,,,,$27272728
Precious Achiuwa,25,$6000000,,,,,,$6000000
Miles McBride,24,$4710144,$4333333,$3956523,,,,$13000000
Jericho Sims,26,$2092344,,,,,,$2092344
Tyler Kolek,23,$2087519,$2191897,$2296271,$2486995,,,$6575687
Cameron Payne,30,$2087519,,,,,,$2087519
Pacome Dadiet,19,$1808080,$2847600,$2983680,$5373608,,,$4655680
Matt Ryan,27,$621439,,,,,,$621439
Ariel Hukporti,22,,,,,,,
Kevin McCullar Jr.,23,,,,,,,
Landry Shamet,27,,,,,,,
Jacob Toppin,24,,,,,,,
