Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Austin Reaves,26,SG,37,37,34.9,6.1,13.9,.442,2.6,7.2,.366,3.5,6.7,.524,.537,3.6,4.2,.841,0.8,3.3,4.1,6.1,1.1,0.2,2.4,2.1,18.5,
2,Anthony Davis,31,C,39,39,34.8,9.4,18.1,.523,0.7,2.3,.315,8.7,15.8,.553,.543,6.0,7.7,.786,2.7,9.1,11.8,3.5,1.3,2.2,2.2,1.9,25.6,
3,LeBron James,40,SF,39,39,34.8,9.1,17.9,.511,2.2,5.6,.394,6.9,12.3,.564,.572,3.2,4.2,.765,0.9,6.7,7.7,8.9,0.9,0.6,3.8,1.4,23.6,
4,Rui Hachimura,26,PF,37,37,32.0,4.6,9.4,.487,1.5,3.6,.410,3.1,5.8,.535,.566,1.5,1.9,.775,1.6,3.6,5.3,1.5,0.9,0.5,0.9,1.8,12.2,
5,D'Angelo Russell,28,PG,29,10,26.3,4.4,10.7,.415,1.9,5.8,.333,2.5,4.9,.510,.505,1.6,1.8,.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,
6,Max Christie,21,SG,41,20,24.4,2.7,6.1,.437,1.2,3.4,.355,1.5,2.8,.535,.534,1.7,2.0,.852,0.6,1.9,2.5,1.3,0.8,0.5,0.8,1.5,8.2,
7,Dorian Finney-Smith,31,PF,9,0,23.0,2.2,5.0,.444,1.4,3.7,.394,0.8,1.3,.583,.589,0.4,0.6,.800,1.3,1.6,2.9,1.0,0.9,0.0,0.3,2.1,6.3,
8,Dalton Knecht,23,SF,42,12,20.8,3.3,7.3,.456,1.5,4.4,.349,1.8,2.9,.620,.562,1.0,1.2,.808,0.6,2.6,3.2,1.0,0.4,0.1,0.5,1.3,9.2,
9,Gabe Vincent,28,PG,38,5,19.9,1.8,4.6,.398,1.0,3.1,.328,0.8,1.6,.533,.506,0.1,0.3,.500,0.3,1.0,1.3,1.2,0.7,0.2,0.6,2.0,4.8,
10,Cam Reddish,25,SF,30,8,18.1,1.2,2.8,.424,0.4,1.5,.289,0.8,1.3,.575,.500,0.4,0.7,.619,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.4,3.3,
11,Jaxson Hayes,24,C,21,3,16.4,2.0,3.2,.632,0.0,0.0,.000,2.0,3.2,.642,.632,1.2,1.6,.735,1.4,2.7,4.1,0.8,0.4,0.7,0.5,2.0,5.3,
12,Christian Koloko,24,C,23,0,9.0,1.0,1.6,.595,0.0,0.1,.000,1.0,1.5,.629,.595,0.1,0.2,.750,1.1,1.3,2.3,0.3,0.3,0.3,0.3,1.2,2.0,
13,Shake Milton,28,SG,7,0,8.7,0.6,2.0,.286,0.3,1.4,.200,0.3,0.6,.500,.357,0.7,0.9,.833,0.1,1.3,1.4,1.1,0.0,0.1,0.6,0.4,2.1,
14,Trey Jemison,25,C,2,0,8.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.5,1.0,.500,0.5,2.5,3.0,0.0,0.0,1.0,0.5,2.0,0.5,
15,Armel Traoré,22,SF,8,0,7.6,0.6,2.3,.278,0.0,0.9,.000,0.6,1.4,.455,.278,0.3,0.9,.286,0.1,1.6,1.8,0.1,0.5,0.3,0.3,0.8,1.5,
16,Jalen Hood-Schifino,21,SG,2,0,7.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.0,1.0,1.000,0.5,0.0,0.5,0.5,0.0,0.5,0.5,1.5,2.0,
17,Quincy Olivari,23,PG,2,0,5.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5,
18,Maxwell Lewis,22,SF,7,0,4.1,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.6,
19,Bronny James,20,SG,12,0,2.4,0.1,0.9,.091,0.0,0.3,.000,0.1,0.6,.143,.091,0.2,0.2,1.000,0.1,0.1,0.2,0.3,0.2,0.1,0.0,0.2,0.3,
