Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
LeBron James,40,$48728845,$52627153,,,,,$48728845
Anthony Davis,31,$43219440,$54126450,$58456566,$62786682,,,$155802456
Rui Hachimura,26,$17000000,$18259259,,,,,$35259259
Dorian Finney-Smith,31,$14924167,$15378480,,,,,$14924167
Austin Reaves,26,$12976362,$13937574,$14898786,,,,$26913936
Gabe Vincent,28,$11000000,$11500000,,,,,$22500000
Jarred Vanderbilt,25,$10714286,$11571429,$12428571,$13285714,,,$34714286
Max Christie,21,$7142857,$7714286,$8285714,$8857143,,,$23142857
Jalen Hood-Schifino,21,$3879840,$4064640,$6243288,,,,$3879840
Dalton Knecht,23,$3819120,$4010160,$4201080,$6452860,,,$7829280
Christian Wood,29,$3036040,,,,,,$3036040
Shake Milton,28,$2875000,$3000000,$3287406,,,,$9162406
Cam Reddish,25,$2463946,,,,,,$2463946
Jaxson Hayes,24,$2463946,,,,,,$2463946
Bronny James,20,$1157153,$1955377,$2296271,$2486995,,,$3112530
Christian Koloko,24,,,,,,,
Trey Jemison,25,,,,,,,
Armel Traoré,22,,,,,,,
