Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Franz Wagner,23,SF,26,26,32.8,8.8,18.9,.465,2.0,6.2,.315,6.8,12.7,.539,.517,4.7,5.3,.877,0.9,4.7,5.5,5.5,1.7,0.5,2.5,2.4,24.2,
2,Paolo Banchero,22,PF,12,12,32.1,7.9,17.9,.442,1.8,5.3,.344,6.1,12.6,.483,.493,6.2,9.2,.673,1.5,6.5,8.0,4.7,0.6,0.9,3.3,2.2,23.8,
3,Kentavious Caldwell-Pope,31,SG,44,44,30.5,3.3,7.8,.419,1.5,4.8,.315,1.7,2.9,.594,.518,1.3,1.4,.902,0.4,1.6,1.9,2.0,1.6,0.6,0.9,1.9,9.3,
4,Jalen Suggs,23,PG,34,34,29.0,5.7,13.9,.410,2.2,7.0,.312,3.5,6.9,.508,.488,2.9,3.1,.907,0.7,3.4,4.1,3.7,1.5,1.0,2.9,2.7,16.4,
5,Tristan Da Silva,23,SF,42,34,26.2,3.3,8.0,.415,1.2,4.0,.313,2.1,4.0,.515,.493,0.9,1.0,.841,1.3,2.8,4.1,1.8,0.5,0.2,0.9,1.5,8.7,
6,Wendell Carter Jr.,25,C,33,24,25.3,3.0,6.9,.430,0.5,2.4,.192,2.5,4.5,.553,.463,2.1,3.0,.694,1.8,5.4,7.2,2.2,0.8,0.6,0.9,2.8,8.5,
7,Anthony Black,21,PG,42,5,24.8,3.2,7.9,.408,0.6,2.4,.253,2.6,5.6,.474,.446,2.2,3.0,.746,0.6,2.2,2.7,3.6,1.0,0.6,2.1,2.3,9.3,
8,Goga Bitadze,25,C,36,33,24.6,4.1,6.6,.619,0.1,0.5,.105,4.0,6.0,.664,.623,1.4,2.1,.680,2.8,5.4,8.2,2.4,0.9,1.6,1.4,2.4,9.6,
9,Moritz Wagner,27,C,30,1,18.8,4.7,8.3,.562,0.9,2.5,.360,3.8,5.8,.649,.616,2.6,3.7,.718,1.3,3.6,4.9,1.4,0.8,0.4,1.6,1.8,12.9,
10,Trevelin Queen,27,SG,19,2,17.1,2.1,5.2,.394,0.8,2.7,.308,1.2,2.5,.489,.475,0.5,0.6,.818,0.8,0.9,1.8,1.6,1.2,0.4,0.9,1.6,5.4,
11,Jonathan Isaac,27,PF,40,0,16.7,2.2,5.4,.407,0.7,2.7,.245,1.6,2.8,.564,.468,1.0,1.6,.635,1.8,3.1,4.8,0.5,0.8,1.3,0.5,1.4,6.1,
12,Gary Harris,30,SG,20,2,16.3,1.5,3.6,.403,1.0,2.7,.352,0.5,0.9,.556,.535,0.2,0.4,.500,0.5,0.8,1.3,0.5,0.7,0.3,0.5,0.7,4.1,
13,Cole Anthony,24,PG,41,8,16.2,3.1,7.7,.405,0.9,3.0,.303,2.2,4.7,.469,.464,1.3,1.7,.765,0.6,2.2,2.8,2.7,0.6,0.3,1.6,2.0,8.4,
14,Caleb Houstan,22,SF,33,5,12.3,0.9,2.9,.313,0.8,2.5,.310,0.1,0.4,.333,.448,0.3,0.3,1.000,0.4,0.6,1.0,0.5,0.2,0.1,0.2,1.1,2.9,
15,Jett Howard,21,SF,38,0,11.3,1.7,4.4,.386,1.0,3.1,.322,0.7,1.3,.542,.500,0.4,0.5,.833,0.4,0.9,1.3,0.6,0.1,0.2,0.5,1.0,4.8,
16,Cory Joseph,33,PG,29,0,7.6,0.7,2.0,.356,0.5,1.4,.350,0.2,0.7,.368,.475,0.1,0.1,.500,0.2,0.6,0.8,0.8,0.4,0.1,0.4,0.6,2.0,
17,Mac McClung,26,SG,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
