Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Jonathan Isaac,27,$25000000,$15000000,$14500000,$14500000,$15000000,,$69000000
Kentavious Caldwell-Pope,31,$22757000,$21621500,$21621500,,,,$44378500
Cole Anthony,24,$12900000,$13100000,$13100000,,,,$26000000
Paolo Banchero,22,$12160800,$15334769,,,,,$27495569
Wendell Carter Jr.,25,$11950000,$10850000,$18102000,$19550160,$20998320,,$60452160
Moritz Wagner,27,$11000000,$11000000,,,,,$11000000
Jalen Suggs,23,$9188385,$35000000,$32400000,$29600000,$26800000,$26700000,$132988385
Goga Bitadze,25,$9057971,$8333333,$7608696,,,,$25000000
Anthony Black,21,$7607760,$7970280,$10106316,,,,$15578040
Gary Harris,30,$7500000,$7500000,,,,,$7500000
Franz Wagner,23,$7007092,$38661750,$41754690,$44847630,$47940570,$51033510,$231245242
Jett Howard,21,$5278320,$5529720,$7337939,,,,$10808040
Tristan Da Silva,23,$3628440,$3809520,$3991200,$6138466,,,$7437960
Cory Joseph,33,$3303771,$3468960,,,,,$3303771
Caleb Houstan,22,$2019699,$2187699,,,,,
Mac McClung,26,,,,,,,
Trevelin Queen,27,,,,,,,
