Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Kyrie Irving,32,SG,35,35,35.9,8.9,18.5,.483,3.1,7.1,.430,5.9,11.4,.516,.566,3.6,3.9,.906,1.0,3.5,4.5,4.9,1.3,0.3,2.3,2.2,24.5,
2,Luka Dončić,25,PG,22,22,35.7,9.8,21.2,.464,3.4,9.6,.354,6.4,11.5,.555,.544,5.1,6.6,.767,0.7,7.6,8.3,7.8,2.0,0.4,3.4,2.6,28.1,
3,P.J. Washington,26,PF,38,37,32.8,4.9,11.4,.432,1.5,4.2,.365,3.4,7.2,.471,.499,2.4,3.2,.752,1.5,6.6,8.1,2.2,1.3,1.0,1.9,2.4,13.8,
4,Klay Thompson,34,SF,38,38,27.6,4.8,11.8,.411,2.9,7.7,.380,1.9,4.1,.468,.535,0.9,1.1,.900,0.6,2.8,3.4,2.0,0.9,0.4,1.4,1.2,13.6,
5,Spencer Dinwiddie,31,PG,43,13,25.0,3.2,8.1,.398,1.3,4.1,.330,1.9,4.0,.468,.481,2.5,2.9,.865,0.2,2.2,2.5,3.6,0.9,0.2,1.1,1.5,10.3,
6,Naji Marshall,27,SF,34,14,24.7,4.4,8.6,.503,0.9,2.8,.313,3.5,5.8,.596,.554,1.4,1.6,.870,0.9,2.7,3.6,2.6,1.0,0.1,1.5,1.5,11.0,
7,Dereck Lively II,20,C,32,25,24.0,3.9,5.5,.701,0.0,0.0,,3.9,5.5,.701,.701,1.4,2.2,.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,
8,Quentin Grimes,24,SG,42,12,23.0,3.5,7.7,.460,1.7,4.3,.394,1.8,3.4,.542,.570,1.3,1.8,.757,0.7,3.2,3.9,2.1,0.7,0.2,1.3,1.6,10.1,
9,Daniel Gafford,26,C,43,20,20.7,4.9,7.0,.707,0.0,0.0,,4.9,7.0,.707,.707,2.3,3.3,.692,2.4,3.9,6.3,1.3,0.5,1.6,1.2,2.6,12.2,
10,Maxi Kleber,33,PF,33,4,19.0,1.1,2.7,.411,0.4,1.4,.283,0.7,1.3,.545,.483,0.5,0.6,.789,0.7,2.1,2.8,1.3,0.3,0.5,0.7,2.0,3.1,
11,Jaden Hardy,22,SG,34,3,15.9,2.9,6.9,.427,1.3,3.2,.394,1.7,3.7,.456,.519,1.0,1.4,.739,0.2,1.4,1.6,1.4,0.6,0.1,1.5,1.6,8.1,
12,Olivier-Maxence Prosper,22,PF,34,1,8.6,1.0,2.5,.407,0.2,0.9,.241,0.8,1.7,.491,.448,0.7,1.2,.595,0.8,1.4,2.2,0.6,0.4,0.1,0.2,0.4,3.0,
13,Dwight Powell,33,C,33,0,7.6,0.4,0.5,.778,0.0,0.0,1.000,0.4,0.5,.765,.806,0.6,0.9,.667,0.7,1.1,1.8,0.7,0.4,0.5,0.2,1.2,1.5,
14,Brandon Williams,25,PG,14,0,6.6,1.0,2.4,.412,0.2,0.7,.300,0.8,1.7,.458,.456,0.7,0.9,.769,0.1,0.6,0.8,0.9,0.1,0.0,0.6,0.4,2.9,
15,Kessler Edwards,24,SF,15,1,4.9,0.3,0.9,.308,0.1,0.5,.143,0.2,0.4,.500,.346,0.1,0.1,1.000,0.1,0.5,0.6,0.3,0.2,0.1,0.1,0.5,0.7,
16,Markieff Morris,35,PF,6,0,4.8,0.7,2.7,.250,0.3,1.5,.222,0.3,1.2,.286,.313,0.0,0.0,,0.0,1.2,1.2,0.7,0.2,0.2,0.3,0.2,1.7,
17,Jazian Gortman,21,PG,15,0,3.7,0.6,1.5,.391,0.3,0.7,.364,0.3,0.8,.417,.478,0.1,0.3,.500,0.1,0.3,0.3,0.4,0.1,0.1,0.3,0.6,1.6,
