Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Luka Dončić,25,$43031940,$45999660,$48967380,,,,$89031600
Kyrie Irving,32,$41000000,$43962963,,,,,$41000000
Klay Thompson,34,$15873016,$16666667,$17460317,,,,$50000000
P.J. Washington,26,$15500000,$14152174,,,,,$29652174
Daniel Gafford,26,$13394160,$14386320,,,,,$27780480
Maxi Kleber,32,$11000000,$11000000,,,,,$22000000
Naji Marshall,26,$8571429,$9000000,$9428571,,,,$27000000
Dereck Lively II,20,$5014560,$5253360,$7239131,,,,$10267920
Quentin Grimes,24,$4296682,,,,,,$4296682
Dwight Powell,33,$4000000,$4000000,,,,,$4000000
Dante Exum,29,$3150000,,,,,,$3150000
Olivier-Maxence Prosper,22,$2870400,$3007080,$5259383,,,,$5877480
Spencer Dinwiddie,31,$2087519,,,,,,$2087519
Markieff Morris,35,$2087519,,,,,,$2087519
Jaden Hardy,22,$2019699,$6000000,$6000000,$6000000,,,$14019699
Jazian Gortman,21,,,,,,,
Kessler Edwards,24,,,,,,,
Brandon Williams,25,,,,,,,
,,,,,,,,
JaVale McGee,37,$2208856,$2208856,$2208856,$2208856,,,$8835424
