Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Dennis Schröder,31,PG,23,23,33.6,6.4,14.1,.452,2.5,6.5,.387,3.9,7.6,.509,.542,3.1,3.5,.889,0.2,2.8,3.0,6.6,1.1,0.2,2.6,2.4,18.4,
2,Cam Thomas,23,SG,19,17,32.3,7.9,17.7,.448,2.8,7.6,.375,5.1,10.2,.503,.528,5.9,6.8,.876,0.5,3.1,3.6,3.4,0.7,0.1,2.7,1.9,24.7,
3,Cameron Johnson,28,PF,35,35,32.3,6.5,13.1,.491,3.2,7.6,.419,3.3,5.5,.591,.613,3.3,3.7,.898,0.7,3.3,4.1,2.9,0.8,0.5,1.7,1.8,19.4,
4,Dorian Finney-Smith,31,PF,20,20,29.0,3.7,8.0,.459,2.4,5.4,.435,1.3,2.6,.510,.607,0.8,1.2,.625,1.6,3.0,4.6,1.6,0.9,0.6,0.9,2.7,10.4,
5,Jalen Wilson,24,PF,44,10,27.0,3.2,8.1,.388,1.4,4.5,.308,1.8,3.6,.488,.473,1.5,1.8,.848,1.0,2.4,3.4,1.8,0.5,0.0,1.1,2.3,9.2,
6,Nic Claxton,25,C,38,30,26.4,4.2,7.8,.539,0.0,0.3,.077,4.2,7.5,.560,.540,1.2,2.4,.511,2.1,5.6,7.7,2.0,0.9,1.1,1.2,1.9,9.7,
7,Ben Simmons,28,PG,30,24,25.3,2.9,5.2,.555,0.0,0.0,,2.9,5.2,.555,.555,0.5,0.8,.696,0.9,4.4,5.3,7.1,0.8,0.5,2.8,2.5,6.3,
8,D'Angelo Russell,28,PG,7,4,24.4,4.4,11.0,.403,2.1,5.9,.366,2.3,5.1,.444,.500,3.6,3.7,.962,0.1,2.9,3.0,8.3,1.6,0.7,2.1,2.1,14.6,
9,Tosan Evbuomwan,23,SF,11,0,23.7,3.6,7.9,.460,0.7,2.8,.258,2.9,5.1,.571,.506,1.8,2.6,.690,1.2,3.1,4.3,1.4,0.5,0.4,1.8,2.0,9.8,
10,Noah Clowney,20,PF,35,16,23.0,3.0,7.9,.381,2.0,5.5,.358,1.1,2.4,.435,.505,1.4,1.7,.845,1.0,3.0,4.0,0.9,0.5,0.5,1.0,2.5,9.4,
11,Ziaire Williams,23,SF,31,16,22.7,3.2,7.9,.410,1.3,3.8,.328,2.0,4.0,.488,.490,1.9,2.3,.817,1.1,3.6,4.7,1.5,1.0,0.4,1.1,2.5,9.6,
12,Keon Johnson,22,SG,43,23,22.0,3.3,8.8,.371,1.4,4.7,.300,1.9,4.1,.452,.451,1.0,1.3,.759,0.7,2.6,3.3,1.7,0.8,0.3,1.3,2.4,8.9,
13,Tyrese Martin,25,SG,29,6,21.1,3.0,7.6,.398,1.6,4.5,.351,1.4,3.1,.467,.502,0.6,0.9,.654,1.1,2.8,3.9,1.8,0.4,0.2,1.3,1.1,8.2,
14,Shake Milton,28,SG,27,1,18.2,2.7,5.8,.465,1.0,2.7,.389,1.7,3.1,.529,.554,0.9,1.2,.758,0.6,1.3,1.9,2.4,0.6,0.0,0.7,1.6,7.4,
15,Day'Ron Sharpe,23,C,23,0,17.4,3.1,6.5,.473,0.1,1.1,.115,3.0,5.4,.548,.483,1.3,1.9,.721,2.9,3.4,6.3,1.5,0.7,0.5,1.3,2.0,7.7,
16,Trendon Watford,24,PF,13,0,16.1,2.7,6.1,.443,0.6,2.0,.308,2.1,4.1,.509,.494,2.3,2.7,.857,0.3,2.5,2.8,1.2,0.4,0.3,1.2,2.3,8.3,
17,Reece Beekman,23,PG,14,0,11.1,1.1,2.9,.375,0.3,1.1,.267,0.8,1.8,.440,.425,0.3,0.5,.571,0.2,0.6,0.8,1.4,0.5,0.1,0.6,0.4,2.7,
18,Dariq Whitehead,20,SF,8,0,7.0,1.5,3.1,.480,1.4,2.6,.524,0.1,0.5,.250,.700,0.1,0.4,.333,0.1,0.5,0.6,0.1,0.4,0.1,0.4,0.3,4.5,
19,Cui Yongxi,21,SG,5,0,2.0,0.2,1.4,.143,0.0,0.6,.000,0.2,0.8,.250,.143,0.2,0.4,.500,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.6,
20,Jaylen Martin,21,SF,3,0,1.7,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,
21,Maxwell Lewis,22,SF,1,0,1.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
