Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Ben Simmons,28,$40338144,,,,,,$40338144
Nic Claxton,25,$27556817,$25352272,$23147727,$20943184,,,$97000000
Cameron Johnson,28,$22500000,$20543478,$22500000,,,,$65543478
Bojan Bogdanović,35,$19032850,,,,,,
D'Angelo Russell,28,$18692307,,,,,,$18692307
De'Anthony Melton,26,$12822000,,,,,,$12822000
Ziaire Williams,23,$6133005,,,,,,$6133005
Cam Thomas,23,$4041249,,,,,,
Day'Ron Sharpe,23,$3989122,,,,,,
Noah Clowney,20,$3244080,$3398640,$5414034,,,,$6642720
Dariq Whitehead,20,$3114240,$3262560,$5366912,,,,$6376800
Trendon Watford,24,$2726603,,,,,,$2726603
Keon Johnson,22,$2162606,$2349578,,,,,
Maxwell Lewis,22,$1891857,$2221677,$2406205,,,,$1891857
Jalen Wilson,24,$1891857,$2221677,,,,,
Tyrese Martin,25,,,,,,,
Reece Beekman,23,,,,,,,
Tosan Evbuomwan,23,,,,,,,
