Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Nikola Jokić,29,C,37,37,36.4,11.4,20.3,.563,2.1,4.3,.475,9.4,15.9,.586,.613,5.2,6.4,.810,3.4,9.7,13.2,9.9,1.9,0.6,3.1,2.0,30.1,
2,Jamal Murray,27,PG,37,37,35.8,7.2,16.0,.452,2.1,5.7,.376,5.1,10.4,.493,.519,3.2,3.6,.867,0.5,3.4,4.0,6.0,1.5,0.6,2.3,1.7,19.8,
3,Michael Porter Jr.,26,SF,43,43,33.3,6.9,13.4,.517,2.6,6.2,.418,4.3,7.1,.603,.614,1.8,2.6,.709,1.5,5.0,6.5,2.3,0.6,0.4,1.3,1.9,18.2,
4,Christian Braun,23,SG,42,42,32.8,5.4,9.5,.571,0.9,2.5,.369,4.5,7.0,.642,.619,2.1,2.6,.818,1.3,3.4,4.7,1.9,1.0,0.6,1.0,2.3,13.9,
5,Russell Westbrook,36,PG,43,22,27.2,4.9,10.4,.465,1.2,3.6,.342,3.6,6.8,.531,.524,2.1,3.2,.645,1.3,3.7,5.0,6.6,1.5,0.5,3.0,2.5,13.0,
6,Aaron Gordon,29,PF,22,16,26.9,4.7,8.6,.542,1.2,2.8,.435,3.5,5.8,.594,.613,3.0,3.7,.793,1.6,3.7,5.3,2.7,0.4,0.2,1.4,1.6,13.5,
7,Peyton Watson,22,SF,43,12,24.3,3.0,6.4,.476,0.7,2.1,.344,2.3,4.3,.541,.533,1.7,2.2,.768,0.8,2.6,3.4,1.4,0.8,1.2,0.9,1.8,8.5,
8,Julian Strawther,22,SG,43,0,22.1,3.4,7.6,.446,1.6,4.1,.382,1.8,3.5,.523,.550,1.3,1.5,.859,0.3,1.9,2.2,1.4,0.7,0.3,0.8,2.5,9.7,
9,Dario Šarić,30,C,13,4,14.8,1.4,4.2,.333,0.5,1.8,.250,0.9,2.3,.400,.389,0.5,0.8,.700,1.0,2.6,3.6,1.7,0.5,0.1,1.1,1.4,3.8,
10,DeAndre Jordan,36,C,31,2,12.0,1.6,2.5,.636,0.0,0.0,,1.6,2.5,.636,.636,0.4,0.9,.414,1.2,3.3,4.5,0.8,0.3,0.5,0.7,1.3,3.5,
11,Vlatko Čančar,27,PF,4,0,8.5,1.0,1.8,.571,0.3,0.5,.500,0.8,1.3,.600,.643,0.0,0.0,,0.8,1.3,2.0,0.0,0.0,0.3,0.5,1.0,2.3,
12,Jalen Pickett,25,SG,17,0,7.7,1.1,2.2,.514,0.5,1.2,.429,0.6,0.9,.625,.635,0.1,0.1,1.000,0.2,0.7,0.9,1.6,0.1,0.1,0.4,0.6,2.8,
13,Hunter Tyson,24,PF,32,0,7.5,0.7,1.8,.393,0.3,1.1,.324,0.3,0.7,.500,.491,0.4,0.5,.824,0.3,1.1,1.4,0.4,0.1,0.1,0.3,1.0,2.2,
14,Zeke Nnaji,24,PF,26,0,4.5,0.5,1.2,.452,0.0,0.3,.000,0.5,0.8,.636,.452,0.1,0.3,.429,0.1,0.4,0.5,0.2,0.0,0.1,0.2,0.3,1.2,
15,Trey Alexander,21,SG,14,0,4.4,0.3,1.3,.222,0.1,0.6,.222,0.1,0.6,.222,.278,0.1,0.1,1.000,0.0,0.3,0.3,0.4,0.1,0.1,0.1,0.4,0.9,
16,Spencer Jones,23,SF,5,0,2.6,0.2,0.8,.250,0.0,0.6,.000,0.2,0.2,1.000,.250,0.0,0.0,,0.0,0.6,0.6,0.0,0.4,0.0,0.2,0.2,0.4,
17,PJ Hall,22,C,9,0,2.4,0.4,0.8,.571,0.0,0.2,.000,0.4,0.6,.800,.571,0.1,0.2,.500,0.1,0.8,0.9,0.2,0.0,0.1,0.1,0.3,1.0,
