Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Nikola Jokić,29,$51415938,$55224526,$59033114,$62841702,,,$165673578
Jamal Murray,27,$36016200,$46394100,$50105628,$53817156,$57528684,,$243861768
Michael Porter Jr.,26,$35859950,$38333050,$40806150,,,,$86193000
Aaron Gordon,29,$22841455,$22841455,$31978037,$34536280,$37094523,,$112197227
Zeke Nnaji,24,$8888889,$8177778,$7466667,$7466667,,,$24533334
Dario Šarić,30,$5168000,$5426400,,,,,$5168000
Russell Westbrook,36,$3303771,$3468960,,,,,$3303771
Christian Braun,23,$3089640,$4921797,,,,,$8011437
DaRon Holmes,22,$3065640,$3218760,$3372120,$5547138,,,$6284400
Julian Strawther,22,$2552520,$2674200,$4826931,,,,$5226720
Peyton Watson,22,$2413560,$4356476,,,,,$6770036
DeAndre Jordan,36,$2087519,,,,,,$2087519
Vlatko Čančar,27,$2087519,,,,,,$2087519
Jalen Pickett,25,$1891857,$2221677,$2406205,,,,$4113534
Hunter Tyson,24,$1891857,$2221677,$2406205,,,,$4113534
Spencer Jones,23,,,,,,,
PJ Hall,22,,,,,,,
Trey Alexander,21,,,,,,,
