Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Tyrese Haliburton,24,PG,43,43,34.4,6.1,13.8,.444,2.8,8.0,.357,3.3,5.8,.564,.547,2.7,3.1,.859,0.6,3.0,3.6,8.8,1.2,0.6,1.8,1.3,17.8,
2,Pascal Siakam,30,PF,44,44,33.2,7.8,14.8,.525,1.8,4.3,.412,6.0,10.5,.571,.585,2.8,3.8,.740,1.7,5.6,7.3,3.5,0.9,0.3,1.3,2.6,20.1,
3,Bennedict Mathurin,22,SF,43,38,32.4,5.9,12.4,.472,1.5,4.2,.359,4.3,8.2,.530,.533,3.3,4.0,.819,1.3,4.7,6.0,1.9,0.7,0.4,2.1,2.6,16.5,
4,Myles Turner,28,C,41,41,31.0,5.6,11.6,.483,2.0,5.2,.396,3.5,6.4,.553,.572,2.2,3.0,.738,1.4,5.6,7.0,1.5,0.8,1.9,2.0,2.9,15.4,
5,Andrew Nembhard,25,SG,29,29,28.3,3.9,8.6,.458,0.8,2.4,.314,3.2,6.2,.514,.502,1.9,2.5,.750,0.6,2.8,3.3,5.1,1.1,0.1,1.8,2.0,10.5,
6,Ben Sheppard,23,SG,30,7,20.3,2.0,4.9,.401,1.2,3.4,.363,0.7,1.5,.489,.527,0.3,0.3,.900,0.6,1.9,2.5,1.0,0.5,0.3,0.3,2.2,5.5,
7,Aaron Nesmith,25,SF,9,7,19.4,3.0,5.6,.540,1.1,2.1,.526,1.9,3.4,.548,.640,1.7,1.9,.882,0.4,2.9,3.3,0.8,0.4,0.2,0.8,2.9,8.8,
8,Obi Toppin,26,PF,41,0,19.3,3.9,7.2,.541,1.2,3.4,.355,2.7,3.8,.705,.624,1.1,1.4,.810,0.7,3.3,4.0,1.6,0.7,0.4,0.7,1.4,10.1,
9,T.J. McConnell,32,PG,43,0,19.0,4.5,8.6,.526,0.2,0.6,.269,4.4,8.0,.545,.535,0.8,1.1,.739,0.6,2.0,2.5,4.4,1.2,0.3,1.5,1.0,10.0,
10,Jarace Walker,21,PF,44,1,17.1,2.3,5.0,.468,1.0,2.5,.387,1.3,2.4,.551,.567,0.8,1.2,.642,0.4,3.0,3.4,1.5,1.0,0.4,1.2,1.7,6.4,
11,Isaiah Jackson,23,C,5,1,16.8,2.8,4.6,.609,0.0,0.0,,2.8,4.6,.609,.609,1.4,2.8,.500,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0,
12,Quenton Jackson,26,PG,18,7,14.1,2.2,4.2,.513,0.5,1.3,.375,1.7,2.9,.577,.572,0.8,1.2,.714,0.6,0.9,1.5,1.7,0.5,0.3,0.6,1.8,5.7,
13,Thomas Bryant,27,C,18,1,14.0,2.8,4.8,.581,0.9,2.1,.447,1.8,2.7,.688,.680,0.3,0.4,.857,1.7,2.2,3.9,0.8,0.4,0.5,0.4,0.8,6.8,
14,Johnny Furphy,20,SG,29,0,7.7,0.7,1.9,.382,0.4,1.1,.344,0.3,0.8,.435,.482,0.2,0.2,1.000,0.4,0.7,1.1,0.3,0.3,0.2,0.3,0.8,2.1,
15,Enrique Freeman,24,PF,18,1,7.5,0.7,1.4,.480,0.1,0.3,.167,0.6,1.1,.579,.500,0.4,0.7,.538,0.3,0.7,1.0,0.4,0.1,0.1,0.3,0.9,1.8,
16,Moses Brown,25,C,9,0,5.1,1.4,2.2,.650,0.0,0.0,,1.4,2.2,.650,.650,0.3,0.6,.600,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2,
17,James Wiseman,23,C,1,0,5.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,
18,James Johnson,37,PF,8,0,3.4,0.5,0.9,.571,0.0,0.1,.000,0.5,0.8,.667,.571,0.0,0.1,.000,0.0,0.5,0.5,0.4,0.0,0.3,0.5,0.5,1.0,
19,Tristen Newton,23,SG,5,0,1.6,0.2,1.2,.167,0.0,0.6,.000,0.2,0.6,.333,.167,0.2,0.2,1.000,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.6,
20,RayJ Dennis,23,PG,4,0,1.5,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.5,0.5,1.000,0.3,0.0,0.3,0.0,0.3,0.0,0.5,0.3,0.5,
