Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Pascal Siakam,30,$42176400,$45550512,$48924624,$52298736,,,$188950272
Tyrese Haliburton,24,$42176400,$45550512,$48924624,$52298736,$55672848,,$244623120
Myles Turner,28,$19928500,,,,,,$19928500
Obi Toppin,26,$12975000,$14000000,$15000000,$16025000,,,$58000000
Aaron Nesmith,25,$11000000,$11000000,$11000000,,,,$33000000
T.J. McConnell,32,$9300000,$10200000,$11000000,$11800000,$11800000,,$42300000
Bennedict Mathurin,22,$7245720,$9187573,,,,,$16433293
Jarace Walker,21,$6362520,$6665520,$8478542,,,,$13028040
Isaiah Jackson,23,$4435381,,,,,,$4435381
Ben Sheppard,23,$2663880,$2790720,$5031669,,,,$5454600
James Wiseman,23,$2237691,$2546675,,,,,$2237691
James Johnson,37,$2087519,,,,,,
Thomas Bryant,27,$2087519,,,,,,$2087519
Andrew Nembhard,25,$2019699,$18102000,$19550160,$20998320,,,$60670179
Johnny Furphy,20,$1850842,$1955377,$2296271,$2486995,,,$6102490
Quenton Jackson,26,,,,,,,
Enrique Freeman,24,,,,,,,
RayJ Dennis,23,,,,,,,
,,,,,,,,
Nik Stauskas,31,$702310,,,,,,$702310
Juwan Morgan,27,$576229,,,,,,$576229
Malik Fitts,27,$555216,,,,,,$555216
Moses Brown,25,$306660,,,,,,$306660
