Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Trey Murphy III,24,SF,28,26,35.0,7.1,15.9,.449,3.1,8.7,.358,4.0,7.2,.559,.547,4.2,4.6,.907,1.0,4.0,5.0,2.9,1.2,0.8,1.6,2.4,21.6,
2,CJ McCollum,33,PG,31,31,33.6,8.5,18.6,.453,3.2,8.5,.374,5.3,10.1,.521,.539,2.3,3.2,.710,0.7,3.0,3.7,3.8,0.8,0.6,1.6,2.4,22.4,
3,Dejounte Murray,28,PG,27,27,33.4,6.2,16.2,.384,1.8,5.9,.302,4.4,10.3,.430,.438,3.0,3.6,.825,0.5,6.0,6.6,7.7,2.3,0.4,3.6,2.1,17.2,
4,Brandon Ingram,27,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,
5,Herbert Jones,26,SF,20,20,32.4,3.8,8.6,.436,1.1,3.6,.306,2.7,5.0,.530,.500,1.7,2.0,.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,
6,Zion Williamson,24,PF,10,10,28.9,8.2,16.9,.485,0.2,1.0,.200,8.0,15.9,.503,.491,5.3,8.5,.624,3.4,4.8,8.2,5.4,1.2,1.2,3.4,2.9,21.9,
7,Yves Missi,20,C,41,35,27.1,3.6,6.4,.561,0.0,0.0,.000,3.6,6.4,.563,.561,1.9,2.9,.661,3.6,4.5,8.2,1.4,0.6,1.4,1.2,2.3,9.1,
8,Brandon Boston Jr.,23,SG,39,10,23.8,3.9,9.0,.436,1.2,3.3,.346,2.8,5.7,.489,.500,1.6,2.0,.810,0.7,2.5,3.2,2.3,1.2,0.2,1.2,1.7,10.6,
9,Jordan Hawkins,22,SG,28,4,22.7,3.6,10.0,.361,2.0,5.9,.331,1.6,4.1,.404,.459,1.7,2.0,.825,0.4,2.1,2.5,0.9,0.5,0.5,0.9,0.8,10.9,
10,Jose Alvarado,26,PG,21,7,21.9,3.3,8.3,.394,2.2,5.5,.409,1.0,2.9,.367,.529,1.0,1.2,.808,0.5,1.5,2.0,4.0,1.5,0.2,1.1,2.1,9.8,
11,Javonte Green,31,SG,39,15,21.8,2.1,4.6,.464,0.8,2.0,.385,1.4,2.6,.525,.547,1.0,1.3,.765,1.0,2.4,3.4,0.8,1.1,0.7,0.6,1.5,6.0,
12,Jaylen Nowell,25,SG,8,0,21.0,3.3,9.1,.356,1.0,3.4,.296,2.3,5.8,.391,.411,0.9,1.4,.636,0.8,1.8,2.5,2.3,0.1,0.5,1.0,1.1,8.4,
13,Elfrid Payton,30,PG,7,3,20.6,3.3,6.6,.500,0.0,0.1,.000,3.3,6.4,.511,.500,0.1,0.3,.500,0.7,2.7,3.4,6.9,1.4,0.4,2.9,1.4,6.7,
14,Jeremiah Robinson-Earl,24,PF,37,5,18.5,2.3,5.1,.450,0.7,2.3,.306,1.6,2.8,.567,.519,0.7,0.8,.862,1.9,3.1,4.9,1.3,0.7,0.2,0.7,1.3,6.0,
15,Daniel Theis,32,C,34,9,16.5,1.7,3.5,.492,0.3,1.0,.257,1.5,2.5,.588,.529,0.9,1.0,.829,1.2,3.3,4.4,1.6,0.4,0.5,0.7,1.8,4.6,
16,Jamal Cain,25,SF,17,0,13.4,1.5,3.4,.439,0.5,1.8,.300,0.9,1.6,.593,.518,0.6,0.9,.625,0.9,1.8,2.7,0.6,0.5,0.4,0.4,1.2,4.1,
17,Trey Jemison,25,C,16,0,10.4,0.9,2.0,.469,0.0,0.0,,0.9,2.0,.469,.469,0.5,1.3,.381,1.4,1.4,2.8,0.6,0.4,0.4,0.6,1.7,2.4,
18,Antonio Reeves,24,SG,17,0,9.1,1.8,4.4,.419,0.6,2.2,.297,1.2,2.2,.541,.493,0.4,0.5,.875,0.4,0.7,1.1,0.6,0.4,0.0,0.3,0.4,4.7,
19,Karlo Matković,23,PF,8,0,8.0,0.6,1.4,.455,0.0,0.3,.000,0.6,1.1,.556,.455,0.0,0.0,,1.0,1.3,2.3,0.4,0.6,0.8,0.8,1.4,1.3,
