Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Zion Williamson,24,$36725670,$39446090,$42166510,$44886930,,,$163225200
Brandon Ingram,27,$36016200,,,,,,$36016200
CJ McCollum,33,$33333333,$30666666,,,,,$63999999
Dejounte Murray,28,$29517135,$31557103,$33597072,$31619506,,,$94671310
Herbert Jones,26,$12976362,$13937574,$14898786,,,,$41812722
Trey Murphy III,24,$5159854,$25000000,$27000000,$29000000,$31000000,,$117159854
Jordan Hawkins,22,$4525680,$4741320,$7021895,,,,$9267000
Yves Missi,20,$3193200,$3353040,$3512760,$5595827,,,$6546240
Jeremiah Robinson-Earl,24,$2196970,,,,,,$2196970
Javonte Green,31,$2087519,,,,,,$2087519
Daniel Theis,32,$2087519,,,,,,$2087519
Jose Alvarado,26,$1988598,$4500000,$4500000,,,,$6488598
Karlo Matković,23,$1407153,$1955377,$2296271,,,,$3362530
Antonio Reeves,24,$1157153,$1955377,$2296271,,,,$1157153
Jamal Cain,25,,,,,,,
Keion Brooks Jr.,24,,,,,,,
Brandon Boston Jr.,23,,,,,,,
,,,,,,,,
Jaylen Nowell,25,$278782,,,,,,$278782
Elfrid Payton,30,,,,,,,
