Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Cade Cunningham,23,PG,40,40,35.6,9.3,20.3,.457,2.4,6.4,.371,6.9,13.9,.496,.515,3.7,4.6,.814,0.9,5.6,6.5,9.4,0.9,0.9,4.7,2.7,24.6,
2,Tobias Harris,32,PF,42,42,32.4,4.9,11.0,.448,1.4,4.0,.353,3.5,7.0,.502,.512,1.8,2.1,.865,1.0,5.2,6.2,2.5,0.8,0.8,1.2,2.0,13.1,
3,Jaden Ivey,22,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,
4,Tim Hardaway Jr.,32,SG,40,40,28.4,3.6,8.6,.421,2.2,5.7,.379,1.5,2.9,.504,.547,1.7,2.1,.821,0.2,2.0,2.2,1.5,0.5,0.0,0.7,1.3,11.1,
5,Malik Beasley,28,SG,44,11,28.0,5.7,13.3,.426,3.7,9.3,.398,2.0,4.1,.489,.564,1.1,1.6,.694,0.5,2.3,2.9,1.8,0.9,0.0,1.2,1.5,16.2,
6,Jalen Duren,21,C,41,41,25.1,4.2,5.9,.708,0.0,0.0,,4.2,5.9,.708,.708,1.7,2.6,.648,3.3,6.4,9.8,2.3,0.6,1.2,1.9,3.2,10.1,
7,Isaiah Stewart,23,C,40,3,20.8,2.3,4.5,.511,0.2,0.8,.242,2.1,3.6,.572,.534,0.8,1.0,.868,2.1,4.0,6.1,1.8,0.5,1.3,0.9,2.5,5.6,
8,Ausar Thompson,22,SF,22,11,19.2,3.4,6.7,.507,0.3,1.4,.233,3.1,5.4,.576,.530,1.0,1.7,.553,1.5,3.2,4.7,1.6,1.5,0.4,1.4,2.5,8.1,
9,Simone Fontecchio,29,SF,39,0,17.9,2.2,5.4,.410,1.2,3.3,.357,1.0,2.1,.494,.519,1.0,1.3,.800,0.7,2.2,2.9,0.9,0.3,0.2,0.8,1.4,6.6,
10,Ron Holland,19,SF,44,1,15.6,2.4,5.2,.469,0.5,2.0,.241,2.0,3.2,.610,.515,0.9,1.2,.804,0.5,2.3,2.8,0.8,0.5,0.2,0.9,1.8,6.3,
11,Marcus Sasser,24,PG,33,0,13.9,2.3,4.9,.466,0.9,2.5,.369,1.3,2.3,.571,.562,0.5,0.6,.895,0.4,0.9,1.3,2.1,0.6,0.1,0.8,1.2,6.0,
12,Wendell Moore Jr.,23,SG,17,1,12.4,1.3,2.8,.458,0.2,0.8,.231,1.1,2.1,.543,.490,0.8,0.8,.929,0.6,1.9,2.6,1.3,0.6,0.2,0.5,0.9,3.5,
13,Paul Reed,25,C,23,0,10.5,1.8,3.1,.569,0.2,0.7,.313,1.6,2.4,.643,.604,0.9,1.1,.840,0.7,1.6,2.3,1.0,1.1,0.6,0.5,1.6,4.7,
14,Cole Swider,25,SF,2,0,6.5,0.0,2.5,.000,0.0,2.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,
15,Alondes Williams,25,SG,1,0,4.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,
16,Bobi Klintman,21,SF,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,
17,Daniss Jenkins,23,PG,3,0,2.7,0.0,1.3,.000,0.0,1.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,
