Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Tobias Harris,32,$25365854,$26634146,,,,,$52000000
Tim Hardaway Jr.,32,$16193183,,,,,,$16193183
Isaiah Stewart,23,$15000000,$15000000,$15000000,$15000000,,,$45000000
Cade Cunningham,23,$13940809,$38661750,$41754690,$44847630,$47940570,$51033510,$238178959
Ausar Thompson,21,$8376000,$8775000,$11117925,,,,$17151000
Ron Holland,19,$8245320,$8657280,$9069600,$11491183,,,$16902600
Jaden Ivey,22,$7977240,$10107163,,,,,$18084403
Simone Fontecchio,29,$7692308,$8307692,,,,,$16000000
Malik Beasley,28,$6000000,,,,,,$6000000
Jalen Duren,21,$4536840,$6483144,,,,,$11019984
Marcus Sasser,24,$2755080,$2886720,$5198983,,,,$5641800
Wendell Moore Jr.,23,$2537040,$4574283,,,,,$2537040
Paul Reed,25,$2485563,,,,,,$2485563
Bobi Klintman,21,$1257153,$1955377,$2296271,$2486995,,,$3212530
Ron Harper Jr.,24,,,,,,,
Daniss Jenkins,23,,,,,,,
Tolu Smith,24,,,,,,,
,,,,,,,,
Dewayne Dedmon,35,$2748674,,,,,,$2748674
Javante McCoy,26,$32596,,,,,,$32596
