Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Scottie Barnes,23,PF,31,31,34.9,7.7,16.6,.463,1.4,5.1,.280,6.3,11.5,.543,.506,3.2,4.4,.735,1.6,6.4,8.0,6.5,1.5,0.9,3.3,2.2,20.0,
2,RJ Barrett,24,SF,36,36,33.6,8.2,17.5,.467,1.9,5.4,.344,6.3,12.1,.523,.521,3.9,5.7,.683,1.0,5.7,6.7,5.8,0.8,0.4,3.2,2.5,22.1,
3,Jakob Poeltl,29,C,39,38,31.4,6.4,10.4,.614,0.0,0.1,.000,6.4,10.4,.617,.614,1.8,2.8,.649,3.6,6.7,10.3,2.6,1.2,1.2,2.0,3.4,14.7,
4,Gradey Dick,21,SG,38,38,30.5,5.5,13.2,.417,2.3,6.6,.345,3.2,6.6,.490,.504,2.8,3.1,.882,0.7,2.6,3.3,2.1,0.9,0.2,1.7,2.2,16.1,
5,Ochai Agbaji,24,SG,39,33,28.9,4.3,8.4,.508,1.6,3.9,.403,2.7,4.5,.600,.602,0.5,0.7,.679,0.9,2.8,3.8,1.7,0.8,0.5,0.8,2.1,10.6,
6,Immanuel Quickley,25,PG,9,9,28.4,5.3,14.1,.378,2.2,6.4,.345,3.1,7.7,.406,.457,3.3,3.6,.938,0.1,2.1,2.2,6.1,0.7,0.1,1.8,1.8,16.2,
7,Davion Mitchell,26,PG,39,19,24.7,2.3,5.4,.420,0.9,2.6,.337,1.4,2.8,.495,.500,0.6,0.9,.657,0.4,1.6,2.0,4.6,0.7,0.2,1.7,2.6,6.0,
8,Bruce Brown,28,PG,11,0,19.0,3.5,7.5,.470,0.7,2.0,.364,2.8,5.5,.508,.518,1.1,1.4,.800,1.1,2.6,3.7,1.5,0.7,0.2,1.0,1.6,8.9,
9,Ja'Kobe Walter,20,SG,26,7,18.4,2.5,6.5,.391,0.9,3.2,.293,1.6,3.3,.483,.462,1.0,1.4,.676,0.8,1.6,2.4,1.3,0.5,0.2,0.8,1.9,7.0,
10,Chris Boucher,32,PF,39,0,17.4,3.8,7.6,.498,1.4,3.8,.356,2.4,3.7,.644,.588,1.4,1.8,.778,1.3,3.1,4.4,0.6,0.6,0.6,0.6,1.4,10.3,
11,Jonathan Mogbo,23,PF,36,6,16.4,1.9,4.2,.464,0.2,0.7,.320,1.7,3.5,.492,.490,1.0,1.3,.729,1.8,2.4,4.1,1.6,0.7,0.4,0.9,1.8,5.1,
12,Jamal Shead,22,PG,40,0,16.2,2.1,4.9,.426,0.8,2.2,.372,1.3,2.7,.468,.508,0.4,0.6,.682,0.3,0.9,1.1,3.3,0.6,0.1,1.4,1.8,5.3,
13,Kelly Olynyk,33,C,21,1,15.2,2.3,4.6,.510,0.8,1.7,.486,1.5,2.9,.525,.599,1.5,2.0,.780,0.9,2.5,3.4,2.3,0.7,0.4,1.5,2.2,7.0,
14,Jamison Battle,23,SF,34,0,12.6,1.9,4.2,.458,1.3,3.1,.415,0.6,1.1,.583,.613,0.4,0.4,.857,0.6,1.3,1.8,0.9,0.1,0.1,0.4,1.1,5.5,
15,Bruno Fernando,26,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,
16,D.J. Carton,24,SG,4,0,8.3,0.3,1.8,.143,0.0,0.8,.000,0.3,1.0,.250,.143,0.3,0.3,1.000,0.0,1.0,1.0,0.8,0.5,0.0,1.0,0.3,0.8,
17,Garrett Temple,38,SG,14,0,3.9,0.1,0.8,.182,0.1,0.4,.200,0.1,0.4,.167,.227,0.3,0.3,1.000,0.1,0.6,0.7,0.6,0.4,0.1,0.3,0.5,0.6,
18,A.J. Lawson,24,SG,4,0,3.8,1.0,2.0,.500,0.5,1.3,.400,0.5,0.8,.667,.625,0.3,0.8,.333,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.0,2.8,
19,Ulrich Chomche,19,PF,6,0,3.3,0.3,0.5,.667,0.0,0.0,,0.3,0.5,.667,.667,0.2,0.3,.500,0.5,0.5,1.0,0.3,0.0,0.0,0.3,0.7,0.8,
20,Orlando Robinson,24,C,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
