Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Immanuel Quickley,25,$32500000,$32500000,$32500000,$32500000,$32500000,,$162500000
RJ Barrett,24,$25794643,$27705357,$29616071,,,,$83116071
Bruce Brown,28,$23000000,,,,,,$23000000
Jakob Poeltl,29,$19500000,$19500000,$19500000,,,,$39000000
Kelly Olynyk,33,$12804878,$13445122,,,,,$26250000
Chris Boucher,32,$10810000,,,,,,$10810000
Scottie Barnes,23,$10130980,$38661750,$41754690,$44847630,$47940570,$51033510,$234369130
Davion Mitchell,26,$6451077,,,,,,$6451077
Gradey Dick,21,$4763760,$4990560,$7131511,,,,$9754320
Ochai Agbaji,24,$4310280,$6383525,,,,,$10693805
Ja'Kobe Walter,20,$3465000,$3638160,$3811800,$5870172,,,$7103160
Garrett Temple,38,$2087519,,,,,,$2087519
Jonathan Mogbo,23,$1862265,$1955377,$2296271,,,,$3817642
Jamal Shead,22,$1862265,$1955377,$2296271,,,,$3817642
Orlando Robinson,24,$117939,,,,,,$117939
A.J. Lawson,24,,,,,,,
Ulrich Chomche,19,,,,,,,
Jamison Battle,23,,,,,,,
,,,,,,,,
Bruno Fernando,26,$1115128,,,,,,$1115128
Eugene Omoruyi,27,$117939,,,,,,$117939
Javon Freeman-Liberty,25,$100000,,,,,,$100000
