Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Fred VanVleet,30,PG,40,40,35.8,5.3,13.5,.393,2.7,7.9,.344,2.6,5.7,.460,.493,2.0,2.4,.813,0.7,3.3,4.1,5.9,1.7,0.5,1.6,2.5,15.3,
2,Jalen Green,22,SG,43,43,32.8,7.5,17.3,.432,2.9,8.0,.360,4.6,9.3,.494,.515,3.5,4.0,.872,0.6,3.8,4.3,2.7,1.0,0.3,2.5,1.7,21.3,
3,Dillon Brooks,29,SF,40,40,32.0,4.7,11.5,.406,2.2,5.9,.367,2.5,5.5,.448,.501,1.3,1.6,.855,1.2,2.5,3.7,1.6,0.8,0.3,1.0,3.4,12.8,
4,Alperen Şengün,22,C,43,43,31.3,7.7,15.7,.490,0.3,1.4,.226,7.3,14.2,.516,.500,3.5,4.9,.712,3.4,7.0,10.5,5.0,1.3,0.9,2.5,2.7,19.2,
5,Jabari Smith Jr.,21,PF,33,33,30.9,4.1,9.5,.435,1.7,4.8,.354,2.4,4.7,.516,.524,2.0,2.3,.867,1.8,4.7,6.5,1.0,0.4,1.0,0.9,2.3,11.9,
6,Amen Thompson,22,SF,40,13,30.1,5.0,9.1,.554,0.3,1.3,.245,4.7,7.8,.606,.572,2.6,3.7,.691,2.8,5.2,8.0,2.5,1.4,1.1,2.0,2.3,13.0,
7,Tari Eason,23,PF,28,0,22.9,4.4,9.2,.477,1.0,3.0,.333,3.4,6.2,.546,.531,1.8,2.4,.746,2.1,4.0,6.2,1.1,2.1,0.9,0.9,2.4,11.6,
8,Cam Whitmore,20,SF,25,0,16.7,4.0,9.0,.442,1.3,4.0,.327,2.6,4.9,.537,.516,1.1,1.5,.737,0.8,2.4,3.2,0.8,0.6,0.3,0.9,0.9,10.4,
9,Reed Sheppard,20,PG,32,0,11.3,1.2,3.9,.315,0.6,2.3,.274,0.6,1.6,.373,.395,0.2,0.2,.833,0.3,0.9,1.3,1.2,0.5,0.3,0.6,0.9,3.2,
10,Steven Adams,31,C,29,0,11.1,1.1,1.9,.593,0.0,0.0,,1.1,1.9,.593,.593,0.6,1.5,.364,2.4,2.5,4.9,1.1,0.2,0.4,1.0,1.0,2.8,
11,Aaron Holiday,28,PG,31,0,10.8,1.3,3.2,.414,0.8,2.1,.375,0.5,1.1,.486,.535,0.5,0.5,.882,0.2,0.8,1.0,1.1,0.4,0.1,0.5,0.8,3.9,
12,Jae'Sean Tate,29,SF,24,1,10.7,1.3,2.9,.457,0.3,0.8,.333,1.1,2.2,.500,.500,0.7,1.0,.640,0.9,1.4,2.3,0.8,0.5,0.1,0.5,1.8,3.6,
13,Jeff Green,38,PF,13,2,10.5,1.5,2.8,.541,0.6,1.8,.348,0.9,1.1,.857,.649,0.5,0.7,.778,0.2,1.2,1.4,0.2,0.2,0.1,0.2,1.1,4.2,
14,Jock Landale,29,C,21,0,9.2,1.1,2.8,.414,0.1,0.3,.429,1.0,2.4,.412,.440,0.6,1.0,.591,1.2,1.5,2.7,0.7,0.2,0.3,0.5,0.7,3.0,
15,Jack McVeigh,28,PF,6,0,3.5,0.5,1.8,.273,0.3,1.3,.250,0.2,0.5,.333,.364,0.0,0.0,,0.2,0.5,0.7,0.2,0.0,0.2,0.2,0.2,1.3,
16,Jeenathan Williams,25,SG,6,0,3.5,1.2,1.5,.778,0.3,0.7,.500,0.8,0.8,1.000,.889,0.0,0.0,,0.0,0.5,0.5,0.2,0.3,0.2,0.2,0.2,2.7,
