Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Victor Wembanyama,21,C,37,37,33.1,9.1,19.0,.477,3.2,9.2,.354,5.8,9.8,.592,.563,3.2,3.8,.845,1.8,9.0,10.8,3.8,1.1,4.0,3.5,2.1,24.6,
2,Devin Vassell,24,SG,27,16,29.7,6.2,13.9,.447,2.4,6.2,.383,3.8,7.7,.498,.532,1.9,2.4,.781,0.7,3.0,3.7,3.1,1.2,0.5,1.7,1.6,16.6,
3,Chris Paul,39,PG,42,42,29.1,3.1,7.5,.416,1.7,4.8,.361,1.4,2.7,.513,.532,1.4,1.5,.967,0.5,3.8,4.3,8.2,1.3,0.2,1.6,1.9,9.4,
4,Jeremy Sochan,21,PF,23,19,28.5,5.3,9.9,.535,0.5,1.7,.300,4.8,8.2,.585,.561,2.2,3.0,.729,2.7,5.4,8.1,2.6,0.9,0.6,1.8,2.3,13.3,
5,Harrison Barnes,32,PF,42,42,28.1,3.8,7.8,.494,1.5,3.6,.413,2.4,4.2,.563,.589,2.2,2.7,.809,1.5,2.4,3.9,1.7,0.3,0.2,0.6,1.0,11.4,
6,Julian Champagnie,23,SF,42,26,26.5,3.8,9.2,.418,2.5,6.7,.365,1.4,2.5,.563,.552,1.1,1.2,.902,0.8,3.6,4.4,1.3,0.7,0.5,1.0,1.5,11.2,
7,Stephon Castle,20,PG,41,24,25.1,4.1,10.3,.402,1.0,3.8,.260,3.2,6.6,.483,.449,2.3,3.2,.718,0.7,1.7,2.5,3.6,0.8,0.3,1.9,1.7,11.6,
8,Keldon Johnson,25,SF,39,0,24.3,4.6,10.0,.460,1.1,3.7,.288,3.5,6.2,.564,.514,2.0,2.6,.770,1.3,3.7,4.9,1.4,0.6,0.3,0.8,1.4,12.2,
9,Tre Jones,25,PG,24,0,16.4,1.5,3.2,.474,0.3,1.0,.304,1.2,2.2,.547,.520,0.7,0.9,.773,0.5,1.7,2.3,3.8,0.7,0.2,0.8,1.2,4.0,
10,Zach Collins,27,C,33,4,12.4,1.8,3.9,.457,0.4,1.4,.289,1.4,2.5,.548,.508,0.9,1.1,.886,1.1,1.8,3.0,1.5,0.4,0.4,0.7,2.0,4.9,
11,Charles Bassey,24,C,29,0,10.7,2.0,3.4,.586,0.0,0.0,,2.0,3.4,.586,.586,0.6,1.0,.621,1.6,2.8,4.4,0.4,0.4,1.0,0.7,1.4,4.6,
12,Malaki Branham,21,SG,27,0,10.3,1.8,4.1,.436,0.7,1.9,.392,1.0,2.2,.475,.527,0.6,0.7,.850,0.1,1.0,1.1,1.0,0.3,0.1,1.0,0.6,4.9,
13,Blake Wesley,21,SG,28,0,9.8,1.3,2.9,.450,0.1,0.8,.190,1.1,2.1,.542,.475,0.5,0.8,.714,0.2,0.6,0.8,1.9,0.4,0.1,0.9,0.5,3.3,
14,Sandro Mamukelashvili,25,PF,26,0,8.6,1.6,2.9,.547,0.7,1.8,.413,0.8,1.1,.759,.673,0.6,0.8,.727,0.7,1.9,2.6,0.5,0.2,0.3,0.4,0.7,4.5,
15,David Duke Jr.,25,SG,1,0,8.0,1.0,4.0,.250,0.0,1.0,.000,1.0,3.0,.333,.250,1.0,2.0,.500,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,
16,Riley Minix,24,SF,1,0,7.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,Harrison Ingram,22,SF,1,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
18,Sidy Cissoko,20,SF,15,0,3.2,0.6,1.1,.529,0.2,0.4,.500,0.4,0.7,.545,.618,0.0,0.3,.000,0.1,0.5,0.6,0.4,0.1,0.0,0.1,0.3,1.4,
