Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Devin Vassell,24,$29347826,$27000000,$27000000,$24652174,$27000000,,$135000000
Keldon Johnson,25,$19000000,$17500000,$17500000,,,,$54000000
Harrison Barnes,32,$18000000,$19000000,,,,,$37000000
Zach Collins,27,$16741200,$18080496,,,,,$34821696
Victor Wembanyama,21,$12768960,$13376880,$16868246,,,,$26145840
Chris Paul,39,$10460000,,,,,,$10460000
Stephon Castle,20,$9105120,$9560520,$10015920,$12670139,,,$18665640
Tre Jones,25,$9104167,,,,,,$9104167
Jeremy Sochan,21,$5570040,$7096231,,,,,$12666271
Malaki Branham,21,$3217920,$4962033,,,,,$8179953
Julian Champagnie,23,$3000000,$3000000,$3000000,,,,
Blake Wesley,21,$2624280,$4726328,,,,,$7350608
Sandro Mamukelashvili,25,$2087519,,,,,,$2087519
Charles Bassey,24,$2087519,$2500000,,,,,$2087519
Sidy Cissoko,20,$1891857,$2221677,,,,,$4113534
Riley Minix,24,,,,,,,
Harrison Ingram,22,,,,,,,
David Duke Jr.,25,,,,,,,
,,,,,,,,
Jalen McDaniels,26,$4741800,,,,,,$4741800
