Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Devin Booker,28,SG,38,38,36.7,8.4,18.8,.446,2.7,7.8,.346,5.7,11.1,.515,.517,6.2,6.9,.890,1.0,2.9,3.9,6.6,1.2,0.3,2.4,2.2,25.7,
2,Kevin Durant,36,PF,33,33,35.8,9.8,18.7,.523,2.2,5.6,.384,7.6,13.1,.582,.580,5.4,6.5,.829,0.5,6.0,6.5,4.1,0.8,1.4,3.1,1.7,27.2,
3,Bradley Beal,31,SG,30,23,32.7,6.7,13.7,.485,2.0,5.3,.386,4.6,8.5,.547,.559,1.7,2.3,.750,0.7,2.9,3.6,3.3,1.1,0.7,1.9,2.6,17.1,
4,Tyus Jones,28,PG,42,42,30.0,4.2,9.0,.473,2.0,4.9,.417,2.2,4.0,.541,.588,0.7,0.9,.861,0.5,1.9,2.5,6.2,1.0,0.1,1.3,1.1,11.3,
5,Royce O'Neale,31,SF,37,9,25.4,3.4,7.9,.430,2.3,5.6,.413,1.1,2.3,.471,.576,0.5,0.6,.773,0.9,4.5,5.4,2.1,0.9,0.5,1.1,2.3,9.5,
6,Grayson Allen,29,SG,34,1,24.3,3.4,7.6,.450,2.4,5.6,.429,1.0,2.0,.507,.608,1.7,2.0,.851,0.6,2.6,3.1,1.9,0.9,0.3,1.1,1.4,11.0,
7,Nick Richards,27,C,3,2,24.3,4.0,5.3,.750,0.0,0.0,,4.0,5.3,.750,.750,3.0,3.7,.818,2.7,7.3,10.0,0.7,0.3,0.7,1.7,3.3,11.0,
8,Jusuf Nurkić,30,C,25,23,23.7,3.0,6.5,.454,0.8,2.4,.322,2.2,4.2,.529,.512,1.9,2.8,.696,1.8,7.3,9.2,1.9,0.9,0.6,2.3,3.1,8.6,
9,Ryan Dunn,22,SF,39,23,20.5,3.1,6.7,.454,1.1,3.6,.317,1.9,3.2,.610,.538,0.2,0.5,.474,1.0,2.5,3.5,0.9,0.5,0.7,0.4,2.4,7.5,
10,Mason Plumlee,34,C,42,18,17.4,1.6,2.7,.584,0.0,0.0,.000,1.6,2.6,.595,.584,0.9,1.5,.613,1.6,4.7,6.3,1.9,0.5,0.7,0.9,2.1,4.0,
11,Oso Ighodaro,22,PF,36,2,16.1,1.6,2.9,.558,0.0,0.1,.000,1.6,2.8,.569,.558,0.5,1.0,.543,0.9,2.6,3.5,1.0,0.5,0.4,0.6,1.7,3.8,
12,Josh Okogie,26,SG,25,1,14.0,2.2,4.6,.491,0.6,1.7,.381,1.6,2.9,.556,.561,0.9,1.3,.688,1.3,1.6,2.9,0.6,0.8,0.4,0.6,1.1,6.0,
13,Monte Morris,29,PG,36,0,13.4,1.8,4.3,.426,0.6,1.8,.303,1.3,2.5,.517,.490,0.9,1.1,.850,0.3,1.3,1.5,1.7,0.4,0.1,0.4,0.5,5.2,
14,TyTy Washington Jr.,23,PG,4,0,7.0,0.8,1.5,.500,0.5,0.8,.667,0.3,0.8,.333,.667,0.0,0.0,,0.0,0.3,0.3,1.0,0.5,0.0,0.3,0.0,2.0,
15,Bol Bol,25,PF,11,0,6.0,1.2,2.2,.542,0.3,1.0,.273,0.9,1.2,.769,.604,0.5,0.9,.600,0.5,1.2,1.6,0.1,0.0,0.2,0.5,0.2,3.2,
16,Damion Lee,32,SG,10,0,6.0,0.9,2.9,.310,0.3,1.5,.200,0.6,1.4,.429,.362,1.0,1.0,1.000,0.1,0.8,0.9,0.7,0.2,0.0,0.5,0.2,3.1,
17,Jalen Bridges,23,SF,4,0,4.3,0.0,0.8,.000,0.0,0.8,.000,0.0,0.0,,.000,0.3,0.5,.500,0.0,0.8,0.8,0.0,0.0,0.0,0.5,0.0,0.3,
18,Collin Gillespie,25,PG,2,0,3.0,1.0,1.5,.667,0.5,0.5,1.000,0.5,1.0,.500,.833,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.5,
