Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Kevin Durant,36,$51179021,$54708609,,,,,$105887630
Bradley Beal,31,$50203930,$53666270,$57128610,,,,$103870200
Devin Booker,28,$49205800,$53142264,$57078728,$61015192,,,$220441984
Jusuf Nurkić,30,$18125000,$19375000,,,,,$37500000
Grayson Allen,29,$15625000,$16875000,$18125000,$19375000,,,$50625000
Royce O'Neale,31,$9375000,$10125000,$10875000,$11625000,,,$42000000
Nick Richards,27,$5000000,$5000000,,,,,$5000000
Ryan Dunn,22,$2530800,$2657760,$2784240,$5025553,,,$5188560
Tyus Jones,28,$2087519,,,,,,$2087519
Mason Plumlee,34,$2087519,,,,,,$2087519
Monte Morris,29,$2087519,,,,,,$2087519
Damion Lee,32,$2087519,,,,,,$2087519
Oso Ighodaro,22,$1157153,$1955377,$2296271,$2486995,,,$3112530
Collin Gillespie,25,,,,,,,
Jalen Bridges,23,,,,,,,
Bol Bol,25,,,,,,,
TyTy Washington Jr.,23,,,,,,,
,,,,,,,,
Nassir Little,24,$3107143,$3107143,$3107143,$3107143,$3107143,,$15535715
E.J. Liddell,24,$706898,$706898,$706898,,,,$2120694
