Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shai Gilgeous-Alexander,26,PG,43,43,34.3,11.3,21.3,.529,2.0,5.7,.348,9.3,15.6,.596,.576,7.4,8.2,.904,0.9,4.4,5.3,6.1,2.0,1.1,2.7,2.2,32.0,
2,Jalen Williams,23,SG,43,43,32.7,8.1,16.9,.478,1.7,5.0,.344,6.4,11.9,.534,.529,3.0,3.9,.780,0.8,4.8,5.6,5.2,1.8,0.7,2.3,2.5,21.0,
3,Isaiah Hartenstein,26,C,24,23,29.8,5.0,8.9,.561,0.0,0.5,.000,5.0,8.5,.591,.561,1.8,2.6,.677,2.8,9.3,12.2,4.1,0.9,1.3,2.0,2.9,11.8,
4,Luguentz Dort,25,SF,43,43,29.0,3.4,8.1,.414,2.3,5.6,.414,1.1,2.6,.414,.556,0.7,0.9,.811,1.4,2.9,4.3,1.7,1.0,0.7,0.7,3.1,9.7,
5,Cason Wallace,21,SG,43,29,27.8,3.1,6.9,.451,1.0,3.0,.341,2.1,3.9,.536,.525,0.3,0.4,.778,1.1,2.5,3.6,2.4,1.7,0.6,0.7,2.2,7.6,
6,Chet Holmgren,22,C,10,10,26.5,5.6,11.1,.505,1.4,3.7,.378,4.2,7.4,.568,.568,3.8,4.9,.776,1.6,7.1,8.7,2.0,0.8,2.6,2.3,1.8,16.4,
7,Aaron Wiggins,26,SG,44,12,21.1,3.8,7.8,.490,1.3,3.6,.376,2.5,4.2,.587,.576,0.7,0.8,.829,1.0,2.5,3.5,1.6,0.8,0.3,0.9,1.3,9.6,
8,Isaiah Joe,25,SG,40,11,20.6,3.3,7.7,.423,2.3,6.0,.388,0.9,1.7,.552,.575,0.4,0.5,.750,0.4,2.1,2.5,1.4,0.8,0.2,0.5,1.6,9.2,
9,Alex Caruso,30,SG,26,0,19.6,2.2,5.7,.392,1.0,3.2,.301,1.3,2.5,.508,.476,0.3,0.5,.750,0.6,2.2,2.8,2.6,1.9,0.5,0.7,1.9,5.8,
10,Ajay Mitchell,22,SG,34,1,16.5,2.5,4.9,.506,0.6,1.5,.431,1.8,3.4,.539,.572,0.8,1.0,.848,0.5,1.5,2.0,1.7,0.7,0.1,0.8,1.7,6.4,
11,Jaylin Williams,22,PF,17,5,16.3,2.2,5.2,.416,1.4,3.8,.359,0.8,1.5,.560,.545,0.2,0.2,1.000,1.1,3.5,4.6,2.2,0.4,0.6,0.6,1.6,5.9,
12,Kenrich Williams,30,PF,33,0,14.0,2.2,4.4,.486,0.8,2.3,.373,1.3,2.2,.606,.582,0.5,0.5,.882,0.8,2.4,3.2,0.9,0.6,0.2,0.5,1.6,5.6,
13,Ousmane Dieng,21,C,24,0,10.4,1.2,3.4,.358,0.5,2.0,.271,0.7,1.4,.485,.438,0.4,0.6,.667,0.5,1.8,2.3,0.7,0.5,0.2,0.3,0.9,3.4,
14,Dillon Jones,23,SF,28,0,8.6,0.8,2.3,.338,0.3,1.3,.189,0.5,1.0,.536,.392,0.3,0.5,.571,0.6,1.2,1.9,0.8,0.2,0.1,0.4,1.0,2.1,
15,Branden Carlson,25,C,15,0,6.3,1.1,2.3,.457,0.8,1.9,.429,0.3,0.5,.571,.629,0.1,0.1,1.000,0.3,1.3,1.7,0.4,0.1,0.4,0.1,0.7,3.1,
16,Adam Flagler,25,SG,15,0,3.7,0.3,2.1,.161,0.3,1.9,.179,0.0,0.2,.000,.242,0.0,0.0,,0.2,0.3,0.5,0.0,0.1,0.1,0.1,0.4,1.0,
17,Malevy Leons,25,SF,6,0,3.5,0.0,0.3,.000,0.0,0.2,.000,0.0,0.2,.000,.000,0.3,0.7,.500,0.2,0.3,0.5,0.2,0.0,0.0,0.2,0.7,0.3,
18,Alex Ducas,24,SG,9,0,3.4,0.4,1.0,.444,0.4,0.9,.500,0.0,0.1,.000,.667,0.0,0.0,,0.1,0.2,0.3,0.1,0.1,0.0,0.1,0.3,1.3,
19,Alex Reese,25,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
