Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Shai Gilgeous-Alexander,26,$35859950,$38333050,$40806150,,,,$114999150
Isaiah Hartenstein,26,$30000000,$28500000,$28500000,,,,$58500000
Luguentz Dort,25,$16500000,$17722222,$17722222,,,,$34222222
Isaiah Joe,25,$12991650,$12362338,$11323006,$11323006,,,$36676994
Chet Holmgren,22,$10880640,$13731368,,,,,$24612008
Aaron Wiggins,26,$10514017,$9672897,$8831776,$7990655,$7990655,,$45000000
Alex Caruso,30,$9890000,,,,,,$9890000
Kenrich Williams,30,$6669000,$7163000,$7163000,,,,$13832000
Cason Wallace,21,$5555880,$5820240,$7420806,,,,$11376120
Ousmane Dieng,21,$5027040,$6670882,,,,,$11697922
Nikola Topić,19,$4935960,$5182920,$5429760,$7482210,,,$10118880
Jalen Williams,23,$4775760,$6580997,,,,,$11356757
Dillon Jones,23,$2622360,$2753280,$2884440,$5200646,,,$5375640
Jaylin Williams,22,$2019699,$2187451,,,,,
Branden Carlson,25,$496519,,,,,,$496519
Adam Flagler,25,,,,,,,
Alex Ducas,24,,,,,,,
Ajay Mitchell,22,,,,,,,
,,,,,,,,
Malevy Leons,25,$1097300,,,,,,$1097300
Kevin Porter Jr.,24,$1000000,,,,,,$1000000
