Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Anthony Edwards,23,SG,44,44,36.7,8.9,20.2,.440,4.2,9.8,.426,4.7,10.4,.454,.544,4.2,5.0,.836,0.7,5.0,5.8,4.3,1.2,0.5,3.4,1.9,26.2,
2,Rudy Gobert,32,C,44,44,33.0,3.9,6.1,.642,0.0,0.0,,3.9,6.1,.642,.642,2.3,3.4,.687,3.3,6.9,10.2,1.7,0.6,1.5,1.4,2.5,10.2,
3,Julius Randle,30,PF,44,44,33.0,6.5,13.9,.468,1.5,4.6,.332,5.0,9.3,.535,.523,4.3,5.3,.808,2.1,5.2,7.3,4.5,0.7,0.2,2.9,2.6,18.9,
4,Jaden McDaniels,24,PF,44,44,30.9,4.2,9.1,.455,1.3,3.8,.325,2.9,5.3,.549,.524,0.9,1.2,.755,1.5,3.6,5.1,1.5,1.4,0.9,1.0,2.9,10.5,
5,Donte DiVincenzo,28,SG,40,8,26.4,3.7,9.3,.397,2.6,7.0,.369,1.1,2.4,.479,.535,1.0,1.3,.820,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11.0,
6,Naz Reid,25,C,44,0,25.3,5.0,10.5,.479,2.1,5.1,.407,2.9,5.3,.549,.579,1.5,1.9,.783,0.9,4.3,5.2,1.7,0.8,0.8,1.2,2.5,13.6,
7,Mike Conley,37,PG,40,34,24.5,2.5,6.9,.367,1.8,4.7,.382,0.8,2.2,.337,.496,1.3,1.4,.893,0.5,2.2,2.7,4.3,1.3,0.2,1.1,1.5,8.1,
8,Nickeil Alexander-Walker,26,SG,44,2,23.0,3.0,6.7,.449,1.6,3.9,.404,1.4,2.8,.512,.566,0.7,1.0,.696,0.6,2.2,2.8,2.4,0.6,0.3,1.3,1.6,8.3,
9,Rob Dillingham,20,PG,19,0,9.7,2.0,4.1,.487,0.8,1.7,.455,1.2,2.4,.511,.583,0.0,0.0,,0.1,0.7,0.8,1.7,0.1,0.0,1.1,0.8,4.8,
10,Josh Minott,22,SF,26,0,7.2,1.2,2.3,.508,0.2,1.0,.231,0.9,1.3,.727,.559,0.3,0.3,.778,0.2,0.9,1.1,0.5,0.4,0.3,0.3,0.9,2.8,
11,Terrence Shannon Jr.,24,SG,10,0,4.5,0.7,1.3,.538,0.1,0.3,.333,0.6,1.0,.600,.577,0.0,0.0,,0.0,0.2,0.2,0.5,0.2,0.1,0.3,0.1,1.5,
12,Luka Garza,26,C,13,0,4.3,1.2,2.2,.571,0.2,0.6,.250,1.1,1.5,.700,.607,0.4,0.6,.625,0.3,0.6,0.9,0.1,0.1,0.0,0.3,0.6,3.0,
13,Daishen Nix,22,PG,3,0,4.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,
14,Joe Ingles,37,SF,9,0,3.9,0.0,0.3,.000,0.0,0.2,.000,0.0,0.1,.000,.000,0.0,0.0,,0.2,0.0,0.2,1.0,0.0,0.0,0.1,0.7,0.0,
15,PJ Dozier,28,SG,9,0,3.9,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,1.000,0.1,0.7,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,
16,Leonard Miller,21,SF,3,0,2.0,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.7,0.7,1.000,0.3,0.7,1.0,0.0,0.3,0.0,0.3,0.3,0.7,
17,Jaylen Clark,23,SG,3,0,2.0,0.0,0.7,.000,0.0,0.3,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,
18,Tristen Newton,23,SG,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
