Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Anthony Edwards,23,SG,46,46,36.6,9.0,20.3,.442,4.1,9.8,.419,4.8,10.5,.463,.543,4.2,5.1,.826,0.8,4.9,5.7,4.4,1.2,0.5,3.3,1.9,26.3,
2,Rudy Gobert,32,C,46,46,33.0,4.0,6.2,.649,0.0,0.0,,4.0,6.2,.649,.649,2.4,3.5,.681,3.3,7.0,10.3,1.8,0.7,1.5,1.3,2.5,10.4,
3,Julius Randle,30,PF,46,46,33.0,6.6,14.1,.466,1.5,4.7,.329,5.0,9.4,.535,.521,4.2,5.2,.812,2.2,5.1,7.3,4.5,0.7,0.2,3.0,2.6,18.9,
4,Jaden McDaniels,24,PF,46,46,31.0,4.2,9.1,.460,1.3,3.8,.333,2.9,5.3,.551,.530,0.9,1.2,.764,1.5,3.8,5.2,1.6,1.5,0.9,1.0,2.9,10.5,
5,Donte DiVincenzo,28,SG,40,8,26.4,3.7,9.3,.397,2.6,7.0,.369,1.1,2.4,.479,.535,1.0,1.3,.820,0.6,3.1,3.7,3.6,1.2,0.2,1.8,1.6,11.0,
6,Naz Reid,25,C,46,0,25.3,5.0,10.4,.484,2.1,5.1,.412,3.0,5.3,.553,.585,1.5,1.8,.788,0.9,4.2,5.1,1.7,0.8,0.8,1.2,2.4,13.6,
7,Mike Conley,37,PG,42,36,24.6,2.5,6.8,.366,1.8,4.6,.381,0.7,2.2,.333,.495,1.2,1.4,.897,0.5,2.2,2.7,4.3,1.4,0.2,1.1,1.4,8.0,
8,Nickeil Alexander-Walker,26,SG,46,2,22.9,3.0,6.7,.448,1.6,3.9,.400,1.4,2.8,.516,.565,0.7,1.0,.696,0.6,2.3,2.8,2.3,0.6,0.3,1.3,1.7,8.3,
9,Rob Dillingham,20,PG,21,0,10.2,2.1,4.4,.478,0.9,1.8,.486,1.2,2.6,.473,.576,0.0,0.1,.000,0.2,0.9,1.0,1.8,0.2,0.0,1.2,0.8,5.0,
10,Josh Minott,22,SF,28,0,7.4,1.1,2.3,.477,0.3,1.0,.250,0.9,1.3,.649,.531,0.3,0.4,.818,0.3,0.9,1.1,0.5,0.4,0.3,0.3,0.9,2.8,
11,Terrence Shannon Jr.,24,SG,10,0,4.5,0.7,1.3,.538,0.1,0.3,.333,0.6,1.0,.600,.577,0.0,0.0,,0.0,0.2,0.2,0.5,0.2,0.1,0.3,0.1,1.5,
12,Luka Garza,26,C,14,0,4.3,1.2,2.1,.567,0.1,0.6,.250,1.1,1.6,.682,.600,0.4,0.6,.625,0.4,0.7,1.1,0.1,0.1,0.0,0.4,0.6,2.9,
13,Daishen Nix,22,PG,3,0,4.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,1.3,1.3,1.0,0.0,0.0,1.3,0.3,0.3,
14,Joe Ingles,37,SF,9,0,3.9,0.0,0.3,.000,0.0,0.2,.000,0.0,0.1,.000,.000,0.0,0.0,,0.2,0.0,0.2,1.0,0.0,0.0,0.1,0.7,0.0,
15,PJ Dozier,28,SG,9,0,3.9,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,1.000,0.1,0.7,.167,0.1,0.4,0.6,0.6,0.1,0.0,0.1,0.3,0.8,
16,Leonard Miller,21,SF,4,0,2.5,0.0,1.0,.000,0.0,0.8,.000,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,1.0,1.3,0.0,0.3,0.0,0.3,0.3,0.5,
17,Jaylen Clark,23,SG,4,0,2.5,0.0,0.8,.000,0.0,0.3,.000,0.0,0.5,.000,.000,0.5,0.5,1.000,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.5,
18,Tristen Newton,23,SG,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
