Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Rudy Gobert,32,$43827586,$35000000,$36500000,$38000000,,,$115327586
Anthony Edwards,23,$42176400,$45550512,$48924624,$52298736,$55672848,,$244623120
Julius Randle,30,$33073920,$30935520,,,,,$33073920
Jaden McDaniels,24,$23017242,$24858622,$26700001,$28541380,$30382755,,$133500000
Naz Reid,25,$13986432,$15022464,,,,,$13986432
Donte DiVincenzo,27,$11445000,$11990000,$12535000,,,,$35970000
Mike Conley,37,$9975962,$10774038,,,,,$20750000
Rob Dillingham,20,$6262920,$6576120,$6889320,$8763216,,,$12839040
Nickeil Alexander-Walker,26,$4312500,,,,,,$4312500
Terrence Shannon Jr.,24,$2546640,$2674080,$2801640,$5054159,,,$5220720
Luka Garza,26,$2162606,$2349578,,,,,$2162606
Joe Ingles,37,$2087519,,,,,,$2087519
Josh Minott,22,$2019699,$2187451,,,,,
Leonard Miller,21,$1891857,$2221677,$2406205,,,,$1891857
Jesse Edwards,24,,,,,,,
Tristen Newton,23,,,,,,,
Jaylen Clark,23,,,,,,,
,,,,,,,,
Keita Bates-Diop,29,$2654644,,,,,,$2654644
PJ Dozier,28,$1051255,,,,,,$1051255
