Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jerami Grant,30,PF,33,33,32.5,4.8,12.5,.382,2.4,6.3,.378,2.4,6.1,.386,.478,2.9,3.5,.836,0.5,3.0,3.5,2.2,0.8,1.1,1.4,2.3,14.8,
2,Anfernee Simons,25,SG,40,40,32.0,6.6,15.5,.423,3.0,8.1,.368,3.6,7.4,.483,.519,2.2,2.4,.906,0.3,2.4,2.7,4.9,0.9,0.1,2.3,1.9,18.3,
3,Toumani Camara,24,PF,42,42,31.3,3.6,8.4,.427,1.4,4.2,.337,2.2,4.2,.517,.511,1.1,1.5,.726,2.2,3.3,5.5,2.0,1.4,0.6,1.5,2.9,9.7,
4,Shaedon Sharpe,21,SG,36,31,31.3,6.6,14.8,.447,1.9,6.2,.311,4.7,8.6,.545,.512,2.5,3.1,.805,0.7,3.2,3.9,2.7,0.8,0.3,2.0,1.8,17.7,
5,Deandre Ayton,26,C,32,32,30.0,6.5,11.4,.568,0.2,0.9,.200,6.3,10.5,.601,.577,0.6,1.0,.606,3.0,7.2,10.2,1.5,0.8,1.0,1.7,2.1,13.8,
6,Deni Avdija,24,SF,41,23,28.4,4.8,10.5,.462,1.4,4.2,.339,3.4,6.2,.545,.530,3.0,4.0,.758,1.3,5.2,6.5,3.3,1.0,0.6,2.3,2.2,14.1,
7,Scoot Henderson,20,PG,37,7,26.6,4.2,9.8,.430,1.4,3.9,.350,2.9,5.9,.482,.499,2.5,3.3,.769,0.6,2.3,2.9,5.3,1.1,0.3,2.8,2.7,12.3,
8,Robert Williams,27,C,16,3,17.1,2.6,3.7,.695,0.1,0.2,.333,2.5,3.5,.714,.703,0.9,0.9,.933,1.7,3.8,5.4,1.1,0.7,1.8,0.8,1.4,6.1,
9,Donovan Clingan,20,C,31,8,16.6,2.3,4.3,.537,0.2,0.6,.300,2.1,3.7,.579,.560,0.8,1.1,.735,2.7,3.7,6.5,0.6,0.5,1.5,1.2,2.5,5.6,
10,Dalano Banton,25,PG,35,0,15.9,3.2,7.9,.411,1.2,3.3,.368,2.0,4.5,.443,.489,1.3,1.9,.691,0.3,1.7,2.0,2.3,0.8,0.5,1.3,0.9,9.0,
11,Kris Murray,24,SF,37,0,14.6,1.9,4.0,.463,0.4,1.6,.267,1.4,2.4,.596,.517,0.4,0.8,.467,1.1,1.2,2.4,1.0,0.4,0.2,0.6,1.0,4.5,
12,Jabari Walker,22,SF,32,1,10.5,1.4,3.0,.463,0.2,0.9,.172,1.2,2.1,.591,.489,0.4,0.6,.650,0.8,2.1,2.9,0.5,0.6,0.1,0.5,1.3,3.3,
13,Taze Moore,26,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,
14,Rayan Rupert,20,SG,31,0,8.5,1.0,2.4,.413,0.3,1.1,.294,0.7,1.3,.512,.480,0.4,0.5,.750,0.6,0.6,1.2,0.5,0.3,0.1,0.5,0.6,2.7,
15,Duop Reath,28,C,21,0,5.9,0.8,2.1,.386,0.5,1.5,.313,0.3,0.6,.583,.500,0.3,0.4,.750,0.4,0.6,1.0,0.3,0.0,0.1,0.2,0.7,2.4,
16,Justin Minaya,25,SF,6,0,3.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.3,0.2,0.0,0.0,0.5,0.0,
17,Bryce McGowens,22,SG,5,0,2.6,0.6,1.0,.600,0.0,0.4,.000,0.6,0.6,1.000,.600,0.0,0.2,.000,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.2,1.2,
