Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jerami Grant,30,PF,35,35,32.4,4.7,12.4,.380,2.4,6.3,.379,2.3,6.1,.381,.476,2.9,3.4,.842,0.5,2.9,3.5,2.2,0.8,1.1,1.4,2.3,14.7,
2,Anfernee Simons,25,SG,42,42,32.2,6.5,15.4,.423,3.0,8.1,.369,3.5,7.3,.484,.520,2.4,2.6,.901,0.3,2.5,2.8,4.7,0.9,0.1,2.2,1.8,18.4,
3,Toumani Camara,24,PF,44,44,31.5,3.7,8.5,.437,1.5,4.3,.353,2.2,4.3,.521,.525,1.1,1.5,.716,2.2,3.3,5.5,2.0,1.4,0.6,1.5,3.0,10.0,
4,Shaedon Sharpe,21,SG,38,31,31.0,6.5,14.6,.443,1.9,6.1,.310,4.6,8.5,.539,.508,2.5,3.2,.792,0.7,3.3,4.0,2.5,0.8,0.3,2.0,1.9,17.3,
5,Deandre Ayton,26,C,32,32,30.0,6.5,11.4,.568,0.2,0.9,.200,6.3,10.5,.601,.577,0.6,1.0,.606,3.0,7.2,10.2,1.5,0.8,1.0,1.7,2.1,13.8,
6,Deni Avdija,24,SF,43,25,28.7,4.9,10.5,.466,1.5,4.3,.344,3.4,6.2,.551,.537,3.3,4.3,.768,1.3,5.2,6.5,3.5,1.1,0.6,2.4,2.2,14.6,
7,Scoot Henderson,20,PG,39,7,26.6,4.2,9.8,.428,1.4,4.0,.355,2.8,5.8,.478,.500,2.5,3.3,.767,0.7,2.3,2.9,5.1,1.1,0.3,2.8,2.7,12.4,
8,Robert Williams,27,C,17,3,17.3,2.4,3.7,.651,0.1,0.2,.333,2.4,3.5,.667,.659,0.9,1.0,.882,1.8,3.9,5.7,1.0,0.6,1.7,0.9,1.5,5.8,
9,Donovan Clingan,20,C,33,10,16.8,2.2,4.3,.521,0.2,0.7,.273,2.1,3.6,.567,.542,0.8,1.0,.735,2.7,3.9,6.7,0.8,0.5,1.6,1.2,2.5,5.4,
10,Dalano Banton,25,PG,37,0,15.7,3.1,7.6,.406,1.2,3.3,.352,1.9,4.4,.447,.482,1.3,1.9,.700,0.3,1.6,1.9,2.2,0.8,0.5,1.3,1.0,8.7,
11,Kris Murray,24,SF,38,0,14.3,1.8,3.9,.463,0.4,1.6,.267,1.4,2.3,.596,.517,0.4,0.8,.467,1.1,1.2,2.3,0.9,0.4,0.2,0.6,0.9,4.4,
12,Jabari Walker,22,SF,33,1,10.6,1.4,3.0,.450,0.2,0.9,.161,1.2,2.1,.580,.475,0.4,0.7,.583,0.9,2.1,2.9,0.5,0.6,0.2,0.5,1.3,3.3,
13,Taze Moore,26,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,
14,Rayan Rupert,20,SG,31,0,8.5,1.0,2.4,.413,0.3,1.1,.294,0.7,1.3,.512,.480,0.4,0.5,.750,0.6,0.6,1.2,0.5,0.3,0.1,0.5,0.6,2.7,
15,Duop Reath,28,C,21,0,5.9,0.8,2.1,.386,0.5,1.5,.313,0.3,0.6,.583,.500,0.3,0.4,.750,0.4,0.6,1.0,0.3,0.0,0.1,0.2,0.7,2.4,
16,Justin Minaya,25,SF,6,0,3.0,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.3,0.2,0.5,0.3,0.2,0.0,0.0,0.5,0.0,
17,Bryce McGowens,22,SG,5,0,2.6,0.6,1.0,.600,0.0,0.4,.000,0.6,0.6,1.000,.600,0.0,0.2,.000,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.2,1.2,
