Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Deandre Ayton,26,$34005126,$35550814,,,,,$69555940
Jerami Grant,30,$29793104,$32000001,$34206898,$36413790,,,$96000003
Anfernee Simons,25,$25892857,$27678571,,,,,$53571428
Deni Avdija,24,$15625000,$14375000,$13125000,$11875000,,,$55000000
Robert Williams,27,$12428571,$13285713,,,,,$25714284
Matisse Thybulle,27,$11025000,$11550000,,,,,$11025000
Scoot Henderson,20,$10259160,$10748040,$13585523,,,,$21007200
Donovan Clingan,20,$6836400,$7178400,$7519920,$9550298,,,$14014800
Shaedon Sharpe,21,$6614160,$8399983,,,,,$15014143
Kris Murray,24,$2990040,$3132000,$5315004,,,,$6122040
Dalano Banton,25,$2196970,,,,,,$2019706
Duop Reath,28,$2048780,$2221677,,,,,$2048780
Jabari Walker,22,$2019699,,,,,,
Toumani Camara,24,$1891857,$2221677,$2406205,,,,
Rayan Rupert,20,$1891857,$2221677,,,,,$1891857
Bryce McGowens,22,,,,,,,
Justin Minaya,25,,,,,,,
Taze Moore,26,,,,,,,
,,,,,,,,
Eric Bledsoe,35,$1300000,,,,,,$1300000
Didi Louzada,25,$268032,$268032,$268032,$268032,$268032,,$1340160
