Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Stephen Curry,36,PG,37,37,31.7,7.5,17.0,.443,4.3,10.6,.403,3.2,6.4,.508,.568,3.0,3.2,.933,0.5,4.2,4.8,6.4,1.1,0.5,3.0,1.2,22.3,
2,Andrew Wiggins,29,SF,39,39,29.7,6.0,13.3,.448,2.2,5.7,.378,3.8,7.6,.500,.529,3.0,3.8,.796,1.5,3.2,4.6,2.3,0.9,0.7,1.3,1.7,17.1,
3,Draymond Green,34,PF,34,32,27.8,2.9,7.1,.415,1.4,3.7,.362,1.6,3.4,.474,.510,1.2,1.9,.615,1.0,5.0,6.0,5.5,1.0,1.1,2.5,3.1,8.4,
4,Dennis Schröder,31,SG,20,17,26.5,3.9,10.5,.368,1.4,4.5,.300,2.5,6.0,.420,.433,1.4,1.7,.818,0.4,1.6,2.0,4.4,0.8,0.1,2.1,2.7,10.4,
5,Jonathan Kuminga,22,PF,32,10,26.0,6.1,13.2,.459,1.3,3.6,.345,4.8,9.6,.502,.506,3.4,5.3,.639,1.4,3.6,5.0,2.2,0.9,0.6,1.6,1.9,16.8,
6,Brandin Podziemski,21,SG,32,8,24.1,3.2,7.7,.419,1.1,3.6,.313,2.1,4.1,.511,.492,0.8,1.0,.750,1.0,3.4,4.4,3.2,1.0,0.2,1.0,1.5,8.3,
7,Buddy Hield,32,SG,45,13,23.4,4.3,10.4,.413,2.7,7.2,.370,1.6,3.2,.510,.542,0.8,0.9,.833,0.6,2.7,3.3,1.5,0.9,0.3,1.2,1.8,12.0,
8,De'Anthony Melton,26,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,
9,Trayce Jackson-Davis,24,C,44,36,20.0,3.5,6.2,.571,0.0,0.0,.000,3.5,6.2,.574,.571,1.1,1.9,.595,2.4,4.0,6.4,2.2,0.5,0.8,0.9,1.5,8.2,
10,Moses Moody,22,SG,38,4,17.7,2.9,6.7,.439,1.6,4.1,.397,1.3,2.6,.505,.561,0.9,1.3,.735,0.5,1.5,2.0,1.1,0.5,0.3,0.7,1.3,8.5,
11,Lindy Waters III,27,SG,37,9,17.5,2.1,5.5,.376,1.3,3.9,.336,0.7,1.5,.482,.498,0.2,0.3,.727,0.4,2.2,2.6,1.1,0.6,0.3,0.5,1.5,5.6,
12,Kevon Looney,28,C,39,6,15.8,2.2,4.2,.521,0.0,0.0,.000,2.2,4.2,.524,.521,0.6,1.3,.449,2.8,3.9,6.8,1.7,0.7,0.3,0.6,2.2,5.0,
13,Kyle Anderson,31,PF,33,3,15.2,2.1,4.8,.443,0.6,1.5,.373,1.5,3.2,.477,.503,0.5,0.8,.667,0.8,2.4,3.1,2.3,0.8,0.5,0.5,1.1,5.4,
14,Gary Payton II,32,SG,34,8,13.4,2.2,3.9,.560,0.3,1.3,.233,1.9,2.7,.714,.597,0.4,0.6,.632,1.1,2.0,3.0,1.3,0.6,0.3,0.6,1.5,5.1,
15,Quinten Post,24,PF,7,0,12.0,2.7,5.6,.487,1.4,3.9,.370,1.3,1.7,.750,.615,0.3,0.3,1.000,0.4,1.7,2.1,1.6,0.1,0.3,0.7,1.7,7.1,
16,Gui Santos,22,PF,21,1,12.0,1.5,3.1,.477,0.9,2.0,.442,0.6,1.0,.545,.623,0.2,0.4,.500,1.0,1.4,2.4,1.1,0.4,0.1,0.5,1.3,4.0,
17,Pat Spencer,28,PG,18,0,6.8,0.9,2.5,.378,0.1,0.6,.200,0.8,1.9,.429,.400,0.4,0.6,.700,0.5,0.8,1.3,1.5,0.4,0.1,0.6,0.4,2.4,
18,Reece Beekman,23,PG,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,
