Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Bilal Coulibaly,20,SF,39,39,33.4,4.4,10.6,.417,1.0,3.8,.267,3.4,6.8,.502,.465,2.4,3.2,.760,1.5,3.6,5.1,3.4,1.3,0.7,2.1,2.5,12.3,
2,Jordan Poole,25,SG,36,36,31.1,6.9,16.3,.423,3.7,9.3,.399,3.2,7.0,.455,.537,4.0,4.6,.867,0.4,2.5,3.0,4.8,1.5,0.4,3.5,3.3,21.4,
3,Carlton Carrington,19,PG,43,34,30.0,3.3,8.3,.396,1.6,4.6,.338,1.7,3.7,.466,.489,0.7,0.9,.800,0.3,4.0,4.3,4.0,0.8,0.2,1.6,2.5,8.9,
4,Kyle Kuzma,29,PF,26,24,27.4,5.6,13.3,.418,1.2,4.5,.259,4.4,8.9,.498,.461,1.7,2.9,.587,0.8,4.7,5.5,2.6,0.7,0.2,2.4,1.6,14.0,
5,Alex Sarr,19,C,39,39,27.1,4.4,11.0,.400,1.5,4.7,.311,2.9,6.3,.466,.466,1.4,2.2,.643,1.9,4.9,6.8,2.2,0.7,1.6,1.5,2.5,11.7,
6,Corey Kispert,25,SF,38,0,26.8,4.1,9.3,.441,1.9,5.5,.351,2.2,3.8,.568,.544,1.2,1.4,.846,0.6,2.5,3.1,1.7,0.6,0.2,1.0,1.5,11.3,
7,Kyshawn George,21,SG,38,8,25.6,2.6,7.4,.348,1.4,5.1,.277,1.2,2.3,.506,.443,1.0,1.3,.760,0.8,2.9,3.7,2.3,0.9,0.6,1.2,3.1,7.6,
8,Malcolm Brogdon,32,PG,18,13,24.8,4.8,10.8,.443,0.8,2.7,.313,3.9,8.1,.486,.482,3.4,3.9,.886,0.9,3.1,4.1,3.9,0.6,0.3,1.7,1.4,13.8,
9,Justin Champagnie,23,SF,25,13,21.0,3.2,6.4,.506,1.2,3.1,.397,2.0,3.3,.610,.603,0.6,1.0,.640,1.7,3.3,5.0,1.0,1.1,0.6,0.9,2.1,8.4,
10,Jonas Valančiūnas,32,C,43,8,19.7,4.8,8.5,.564,0.1,0.5,.217,4.7,8.0,.587,.571,1.9,2.1,.891,2.4,5.8,8.2,2.2,0.5,0.7,1.8,1.9,11.7,
11,Jared Butler,24,PG,31,0,11.1,2.7,5.5,.488,0.5,1.3,.375,2.2,4.2,.523,.532,1.0,1.3,.775,0.5,0.9,1.3,2.5,0.4,0.2,0.9,1.2,6.8,
12,Marvin Bagley III,25,C,19,1,8.7,2.0,3.7,.535,0.1,0.5,.200,1.9,3.2,.590,.549,0.8,1.2,.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,
13,Richaun Holmes,31,PF,7,0,8.6,1.0,2.4,.412,0.0,0.1,.000,1.0,2.3,.438,.412,0.6,0.7,.800,1.0,1.9,2.9,0.1,0.0,0.6,0.3,0.7,2.6,
14,Johnny Davis,22,SG,30,0,7.2,1.0,2.4,.431,0.2,0.9,.259,0.8,1.5,.533,.479,0.2,0.4,.636,0.3,0.8,1.1,0.3,0.4,0.2,0.2,0.6,2.5,
15,Anthony Gill,32,PF,31,0,5.9,0.6,1.3,.488,0.2,0.5,.357,0.5,0.9,.556,.549,0.5,0.8,.625,0.2,0.7,0.9,0.2,0.2,0.0,0.2,0.5,1.9,
16,Patrick Baldwin Jr.,22,SF,19,0,4.2,0.8,1.4,.556,0.5,0.9,.529,0.3,0.5,.600,.722,0.1,0.2,.500,0.2,0.6,0.8,0.1,0.1,0.1,0.2,0.3,2.2,
17,Tristan Vukcevic,21,C,6,0,2.2,0.2,1.0,.167,0.0,0.7,.000,0.2,0.3,.500,.167,0.0,0.0,,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.3,0.3,
