Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Bilal Coulibaly,20,SF,41,41,33.3,4.5,10.7,.420,1.0,3.9,.266,3.5,6.8,.507,.468,2.4,3.2,.762,1.4,3.6,5.1,3.4,1.3,0.8,2.0,2.5,12.4,
2,Jordan Poole,25,SG,38,38,31.2,6.9,16.2,.423,3.7,9.3,.401,3.2,7.0,.453,.537,3.8,4.3,.867,0.5,2.6,3.1,5.0,1.6,0.4,3.4,3.2,21.2,
3,Carlton Carrington,19,PG,45,34,29.8,3.3,8.3,.396,1.6,4.6,.340,1.7,3.7,.467,.491,0.8,0.9,.810,0.4,3.8,4.1,3.8,0.8,0.2,1.5,2.5,8.9,
4,Kyle Kuzma,29,PF,28,26,27.4,5.7,13.6,.419,1.3,4.6,.273,4.5,9.1,.492,.465,1.6,2.8,.590,0.9,4.8,5.7,2.6,0.7,0.3,2.4,1.7,14.3,
5,Corey Kispert,25,SF,40,0,26.8,4.1,9.2,.440,1.9,5.4,.355,2.2,3.9,.558,.543,1.2,1.4,.860,0.6,2.4,3.0,1.6,0.6,0.2,1.0,1.5,11.2,
6,Alex Sarr,19,C,41,41,26.8,4.3,10.9,.397,1.4,4.6,.307,2.9,6.3,.463,.462,1.4,2.1,.644,1.8,4.8,6.6,2.2,0.7,1.6,1.4,2.4,11.5,
7,Kyshawn George,21,SG,40,10,25.7,2.5,7.3,.345,1.4,5.1,.277,1.1,2.3,.495,.440,1.0,1.3,.760,0.8,2.9,3.7,2.2,0.9,0.6,1.3,3.0,7.4,
8,Malcolm Brogdon,32,PG,18,13,24.8,4.8,10.8,.443,0.8,2.7,.313,3.9,8.1,.486,.482,3.4,3.9,.886,0.9,3.1,4.1,3.9,0.6,0.3,1.7,1.4,13.8,
9,Justin Champagnie,23,SF,27,13,20.0,3.1,6.2,.503,1.1,3.0,.388,2.0,3.2,.609,.596,0.6,0.9,.640,1.6,3.3,4.9,1.0,1.0,0.6,0.8,2.0,8.0,
10,Jonas Valančiūnas,32,C,45,8,19.6,4.8,8.6,.564,0.2,0.6,.280,4.7,8.0,.583,.573,1.9,2.1,.895,2.4,5.7,8.1,2.2,0.5,0.6,1.8,1.9,11.7,
11,Jared Butler,24,PG,31,0,11.1,2.7,5.5,.488,0.5,1.3,.375,2.2,4.2,.523,.532,1.0,1.3,.775,0.5,0.9,1.3,2.5,0.4,0.2,0.9,1.2,6.8,
12,Richaun Holmes,31,PF,8,0,8.8,1.4,2.8,.500,0.0,0.1,.000,1.4,2.6,.524,.500,0.6,0.9,.714,1.1,2.0,3.1,0.1,0.0,0.5,0.4,0.6,3.4,
13,Marvin Bagley III,25,C,19,1,8.7,2.0,3.7,.535,0.1,0.5,.200,1.9,3.2,.590,.549,0.8,1.2,.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,
14,Johnny Davis,22,SG,31,0,7.1,1.0,2.4,.432,0.2,0.9,.259,0.8,1.5,.532,.480,0.2,0.4,.636,0.3,0.8,1.1,0.3,0.5,0.2,0.2,0.6,2.5,
15,Anthony Gill,32,PF,32,0,5.9,0.7,1.3,.500,0.2,0.4,.357,0.5,0.9,.571,.560,0.5,0.8,.577,0.2,0.7,0.9,0.2,0.2,0.0,0.2,0.5,1.9,
16,Patrick Baldwin Jr.,22,SF,20,0,4.4,0.8,1.5,.533,0.5,0.9,.556,0.3,0.6,.500,.700,0.1,0.2,.500,0.3,0.6,0.9,0.1,0.1,0.1,0.2,0.3,2.2,
17,Tristan Vukcevic,21,C,7,0,3.1,0.7,2.0,.357,0.1,1.1,.125,0.6,0.9,.667,.393,0.1,0.1,1.000,0.3,0.3,0.6,0.1,0.0,0.1,0.0,0.4,1.7,
