Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
Jordan Poole,25,$29651786,$31848215,$34044642,,,,$95544643
Kyle Kuzma,29,$23522727,$21477272,$19431819,,,,$64431818
Malcolm Brogdon,32,$22500000,,,,,,$22500000
Richaun Holmes,31,$12648321,$13280737,,,,,$12648321
Marvin Bagley III,25,$12500000,,,,,,$12500000
Alex Sarr,19,$11245680,$11808240,$12370680,$15611798,,,$23053920
Jonas Valančiūnas,32,$9900000,$10395000,$10000000,,,,$20295000
Bilal Coulibaly,20,$6945240,$7275600,$9240012,,,,$14220840
Saddiq Bey,25,$6440678,$6118644,$6440678,,,,$19000000
Corey Kispert,25,$5705887,$13975000,$13975000,$13050000,$13050000,,$46705887
Johnny Davis,22,$5291160,$6746229,,,,,$5291160
Carlton Carrington,19,$4454880,$4677600,$4900560,$7257730,,,$9132480
Kyshawn George,21,$2825520,$2966760,$3108000,$5435892,,,$5792280
Patrick Baldwin Jr.,22,$2448840,$4420156,,,,,$2448840
Anthony Gill,32,$2237691,$2546675,,,,,$2237691
Justin Champagnie,23,,,,,,,
Jared Butler,24,,,,,,,
Tristan Vukcevic,21,,,,,,,
,,,,,,,,
Ryan Rollins,22,$600000,,,,,,$600000
